pair,referent,speaker_1,round_1,trial_1,director_1,target_1,accuracy_1,A_gesture_referent_1,B_gesture_referent_1,A_gesture_referent2_1,B_gesture_referent2_1,begin_time_1,end_time_1,duration_1,speaker_2,round_2,trial_2,director_2,target_2,accuracy_2,A_gesture_referent_2,B_gesture_referent_2,A_gesture_referent2_2,B_gesture_referent2_2,begin_time_2,end_time_2,duration_2,A_speech_1,B_speech_1,A_speech_eng_1,B_speech_eng_1,A_LH_gesture_referent_1,A_RH_gesture_referent_1,B_LH_gesture_referent_1,B_RH_gesture_referent_1,iconic_1,A_speech_2,B_speech_2,A_speech_eng_2,B_speech_eng_2,A_LH_gesture_referent_2,A_RH_gesture_referent_2,B_LH_gesture_referent_2,B_RH_gesture_referent_2,iconic_2,comparison_id,begin_time_1_adj,end_time_1_adj,duration_1_adj,begin_time_2_adj,end_time_2_adj,duration_2_adj,A_hands,B_hands,hands_dtw
1,13A,A,1.0,1_5,A,13.0,,13A,,,,153668,154228,560,B,2.0,2_10,B,13.0,,,13A,,,696495,696775,280,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,13A,13A,,,True,,met de twee eh uitsteeksels met bolletjes.,,With the two eh protrusions with spheres.,,,13A-REP,13A-REP,True,11,153668.0,154228.0,560.0,696470.0,696800.0,330.0,both,both,both
1,16A,B,1.0,1_6,B,16.0,,,16A,,,165805,166685,880,A,2.0,2_3,A,16.0,,16C,,16A,,606509,606829,320,,"Bovenop is een soort ovaal, zeg maar, soort bovenkant van een soeplepel.",,"On top is a kind of oval, say, kind of top of a soup ladle.",,,,16A,True,"Dat is een soort van, eh ja, ovaal die erin zitten.",,"That's kind of, um, oval that are in there.",,16A,16C,,,True,12,165805.0,166685.0,880.0,606504.0,606834.0,330.0,both,right,both
1,16D,B,1.0,1_6,B,16.0,,,16D,,,178501,179161,660,A,2.0,2_3,A,16.0,,16D,,,,615564,615924,360,,En helemaal linksachter een soort eh armpje.,,And on the far left back a kind of um arm.,,,,16D,True,En aan de achterkant heb je een soort van armpje die een beetje krom staat.,,And at the back you have a kind of little arm that's kind of crooked.,,,16D,,,True,13,178501.0,179161.0,660.0,615564.0,615924.0,360.0,right,right,right
1,11A,A,1.0,1_7,A,11.0,,11A,,,,208938,209298,360,B,1.0,1_7,A,11.0,,,11A,,,251028,251588,560,En de andere is een platte uitsteeksel,,And the other is a flat protrusion,,,11A,,,True,,"Ja, en dan is er nog één daarnaast. Naast dat ruitje. Dat is een soort langwerpige balk, toch?",,"Yes, and then there's one next to that - next to that little window. That's kind of an oblong bar, right?",,,,11A,True,14,208938.0,209298.0,360.0,251028.0,251588.0,560.0,right,right,right
1,11C,A,1.0,1_7,A,11.0,,11C,,,,233771,234397,626,B,2.0,2_6,B,11.0,,,11C,,,649013,649773,760,En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.,,"And then on the side is a protrusion and there it looks like, say, a piece of paper folded.",,11C,11C,,,True,,Neusje voorop en dan aan de rechterkant het eh omgevouwen papiertje.,,Nose in front and then on the right side the um folded paper.,,,11C,11C,True,15,233771.0,234397.0,626.0,649013.0,649773.0,760.0,both,both,both
1,08B,B,1.0,1_8,B,8.0,,,08B,,,268281,268941,660,A,1.0,1_8,B,8.0,,08B,,,,290081,290601,520,,met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.,,with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.,,,08B,08B,True,Dat bovenop is is een ruit met twee vierkanten die...,,That on top is a diamond with two squares that...,,08B,08B,,,True,16,268281.0,268941.0,660.0,290081.0,290601.0,520.0,both,both,both
1,08D,B,1.0,1_8,B,8.0,,,08D,,,276021,276221,200,A,2.0,2_13,A,8.0,,08D,,,,721682,722082,400,,En aan de zijkant heb je een arm #voice creaks# die lijkt alsof die een knuffel gaat geven.,,And on the side you have an arm #voice creaks# that looks like it's going to give a hug.,,,08D,,True,en een f- armpje aan de zijkant met daar bovenop een eh ruit,,and an f- arm on the side with an eh window on top of it,,,08D,,,True,17,275956.0,276286.0,330.0,721682.0,722082.0,400.0,right,left,right_left
1,08E,B,1.0,1_8,B,8.0,,,08E,,,279400,280260,860,A,2.0,2_13,A,8.0,,08E,,,,719876,720296,420,,,,,,,,08E,True,en dan een voetje eronder,,and then a foot underneath,,08E,,,,True,18,279400.0,280260.0,860.0,719876.0,720296.0,420.0,left,right,left_right
1,05D,A,1.0,1_11,A,5.0,,05D,,05E,,337323,337643,320,B,2.0,2_16,B,5.0,,,05D,,05E,755214,755634,420,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,Oh ja. #laughs#,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,Oh yes #laughs#,05E,05D,,,True,"Oh, de pinguÃ¯n.",en twee armpjes.,"Oh, the penguin.",and two little arms.,,,05E,05D,True,19,337318.0,337648.0,330.0,755214.0,755634.0,420.0,both,both,both
1,05E,A,1.0,1_11,A,5.0,,05D,,05E,,337323,337643,320,B,2.0,2_16,B,5.0,,,05D,,05E,755214,755634,420,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,Oh ja. #laughs#,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,Oh yes #laughs#,05E,05D,,,True,"Oh, de pinguÃ¯n.",en twee armpjes.,"Oh, the penguin.",and two little arms.,,,05E,05D,True,20,337318.0,337648.0,330.0,755214.0,755634.0,420.0,both,both,both
1,05A,A,1.0,1_11,A,5.0,,05A,,,,343321,344281,960,B,1.0,1_11,A,5.0,,,05A,,,368897,369517,620,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,05A,05A,,,True,,heeft die een een een rechthoekige balk bovenop liggen?,,Does that one have a one rectangular beam on top?,,,,05A,True,21,343321.0,344281.0,960.0,368897.0,369517.0,620.0,both,right,both
1,04B,B,1.0,1_12,B,4.0,,,04B,,,394656,395356,700,A,1.0,1_12,B,4.0,,04B,,,,411515,411795,280,,aan de rechterkant erin.,,on the right side in it.,,,,04B,True,"en die, die, zeg maar, zijn twee rechte platte balken die er aan...",,"and those, those, say, are two straight flat beams attached to...",,,04B,,,True,22,394656.0,395356.0,700.0,411490.0,411820.0,330.0,right,right,right
1,07B,A,1.0,1_13,A,7.0,,07B,,,,420881,422556,1675,B,2.0,2_8,B,7.0,,,07B,,,663761,663901,140,Ehm omdat hij dus op de helft van de dingen zit een zit een soort van plank.,,Ehm because he's so on half of the things a sits kind of plank.,,07B,07B,,,True,,maar dan daarboven met het bakje bovenop en een soort tafeltje eh naar beneden.,,but up there with the tray on top and a kind of table eh down.,,,07B,07B,True,23,420881.0,422556.0,1675.0,663666.0,663996.0,330.0,both,both,both
1,02A,B,1.0,1_14,B,2.0,,,02A,,,449178,449578,400,A,2.0,2_11,A,2.0,,02A,,,,704621,705402,781,,"Deze heeft een eh ja ijshoorntje op de kop, op de bovenkant.",,"This one has an um yes ice cream cone on the head, on the top.",,,,02A,True,Ehm dit is weer eh die rijder de met die eh ijshoorn op de kop.,,Um this is again eh that rider the with that eh ice cream cone on the head.,,02A,,,,True,24,449178.0,449578.0,400.0,704621.0,705402.0,781.0,left,right,left_right
1,14A,A,2.0,2_1,A,14.0,,14A,,,,541800,542300,500,B,3.0,3_16,B,14.0,,,14A,,,903401,903541,140,Eh dit is eh met een bol bovenop,,Eh this is eh with a sphere on top,,14A,14A,,,True,,Dit is degene met de twee armpjes en het bolletje bovenop,,This is the one with the two arms and the little ball on top,,,14A,,True,25,541800.0,542300.0,500.0,903306.0,903636.0,330.0,both,left,both
1,14C,A,2.0,2_1,A,14.0,,14C,,,,549281,549701,420,B,3.0,3_16,B,14.0,,,14C,,,905520,906260,740,"en een ehm eh rechthoekige, ja, rechthoeke, rek- rechthoekige balk",,"and a um um rectangular, yes, rectangular, stretch rectangular beam",,14C,14C,,,True,,en de balk voorop.,,and the beam in front.,,,,14C,True,26,549281.0,549701.0,420.0,905520.0,906260.0,740.0,both,right,both
1,14B,A,2.0,2_1,A,14.0,,14B,,14D,,558111,558491,380,B,3.0,3_16,B,14.0,,,14B,,14D,901671,902111,440,"En dan twee uitstulpsels van de armen,",,"And then two bulges of arms,",,14D,14B,,,True,,Dit is degene met de twee armpjes en het bolletje bovenop,,This is the one with the two arms and the little ball on top,,,14D,14B,True,27,558111.0,558491.0,380.0,901671.0,902111.0,440.0,both,both,both
1,14D,A,2.0,2_1,A,14.0,,14B,,14D,,558111,558491,380,B,3.0,3_16,B,14.0,,,14B,,14D,901671,902111,440,"En dan twee uitstulpsels van de armen,",,"And then two bulges of arms,",,14D,14B,,,True,,Dit is degene met de twee armpjes en het bolletje bovenop,,This is the one with the two arms and the little ball on top,,,14D,14B,True,28,558111.0,558491.0,380.0,901671.0,902111.0,440.0,both,both,both
1,09A,B,2.0,2_2,B,9.0,,,09A,,,577893,578153,260,A,3.0,3_1,A,9.0,,09A,,09D,,764222,764402,180,,En dan zo heb je de lepel in het glas en dan nog een eh uitsteeksel,,And then so you have the spoon in the glass and then another um protrusion,,,,09A,True,"Oh, ik heb weer de cocktail met het citroentje, en het armpje en het eh roerstaafje.",,"Oh, I got the cocktail again with the little lemon, and the little arm and the er stirrer.",,09D,09A,,,True,29,577858.0,578188.0,330.0,764147.0,764477.0,330.0,both,right,both
1,09C,B,2.0,2_2,B,9.0,,,09C,,,581067,582301,1234,A,3.0,3_1,A,9.0,,09C,,,,764448,764868,420,,En dan zo heb je de lepel in het glas en dan nog een eh uitsteeksel,,And then so you have the spoon in the glass and then another um protrusion,,,,09C,True,"Oh, ik heb weer de cocktail met het citroentje, en het armpje en het eh roerstaafje.",,"Oh, I got the cocktail again with the little lemon, and the little arm and the er stirrer.",,09C,,,,True,30,581067.0,582301.0,1234.0,764448.0,764868.0,420.0,left,right,left_right
1,16A,A,2.0,2_3,A,16.0,,16C,,16A,,606509,606829,320,B,3.0,3_8,B,16.0,,,16A,,,819049,819289,240,"Dat is een soort van, eh ja, ovaal die erin zitten.",,"That's kind of, um, oval that are in there.",,16A,16C,,,True,Ja.,Ik heb degene die met de ovaalvormige aan de bovenkant en aan de linkerkant en verder nog twee uitsteeksels.,Yes.,I have the one with the oval at the top and on the left side and two more protrusions.,,,,16A,True,31,606504.0,606834.0,330.0,819004.0,819334.0,330.0,both,right,both
1,16C,A,2.0,2_3,A,16.0,,16C,,16A,,606509,606829,320,B,3.0,3_8,B,16.0,,,16C,,,819927,820207,280,"Dat is een soort van, eh ja, ovaal die erin zitten.",,"That's kind of, um, oval that are in there.",,16A,16C,,,True,Ja.,Ik heb degene die met de ovaalvormige aan de bovenkant en aan de linkerkant en verder nog twee uitsteeksels.,Yes.,I have the one with the oval at the top and on the left side and two more protrusions.,,,16C,,True,32,606504.0,606834.0,330.0,819902.0,820232.0,330.0,both,left,both
1,07A,B,2.0,2_8,B,7.0,,,07A,,,665031,665371,340,A,2.0,2_8,B,7.0,,07A,,,,674000,674600,600,,maar dan daarboven met het bakje bovenop en een soort tafeltje eh naar beneden.,,but up there with the tray on top and a kind of table eh down.,,,,07A,True,Ehm is dat die met die glijbaan of die met dat bakje voorop?,,Um is that the one with the slide or the one with the tray in front?,,07A,07A,,,True,33,665031.0,665371.0,340.0,674000.0,674600.0,600.0,both,right,both
1,06D,A,2.0,2_9,A,6.0,,06D,,,,683133,683553,420,B,3.0,3_12,B,6.0,,,06D,,,867901,868221,320,Ehm dit is weer die ene met dat armpje met die met die (bout) erdoorheen en een cirkel aan de achterkant.,,Um this is the one again with that little arm with the one with the (bolt) through it and a circle on the back.,,06D-REP,06D-REP,,,True,,,,,,,,06D,True,34,683133.0,683553.0,420.0,867896.0,868226.0,330.0,both,right,both
1,13D,B,2.0,2_10,B,13.0,,,13D,,,694535,694915,380,A,3.0,3_9,A,13.0,,13D,,,,835547,835947,400,,Eh dit is degene die eh op het plateautje staat,,Um this is the one that is eh on the tray,,,13D,13D,True,"Eh ik heb die staande met die eh cirkel eh handjes aan de zijkant,",,"Um I have the standing one with the um circle um hands on the side,",,13D,13D,,,True,35,694535.0,694915.0,380.0,835547.0,835947.0,400.0,both,both,both
1,13A,B,2.0,2_10,B,13.0,,,13A,,,696495,696775,280,A,3.0,3_9,A,13.0,,13A,,,,836729,836789,60,,met de twee eh uitsteeksels met bolletjes.,,With the two eh protrusions with spheres.,,,13A-REP,13A-REP,True,"Eh ik heb die staande met die eh cirkel eh handjes aan de zijkant,",,"Um I have the standing one with the um circle um hands on the side,",,13A,13A,,,True,36,696470.0,696800.0,330.0,836594.0,836924.0,330.0,both,both,both
1,02A,A,2.0,2_11,A,2.0,,02A,,,,704621,705402,781,B,3.0,3_10,B,2.0,,,02A,,,850831,851071,240,Ehm dit is weer eh die rijder de met die eh ijshoorn op de kop.,,Um this is again eh that rider the with that eh ice cream cone on the head.,,02A,,,,True,,Ik heb degene met het omgevallen ijshoorntje op de kop.,,I got the one with the toppled ice cream cone on it.,,,,02A,True,37,704621.0,705402.0,781.0,850786.0,851116.0,330.0,left,right,left_right
1,08D,A,2.0,2_13,A,8.0,,08D,,,,721682,722082,400,B,3.0,3_14,B,8.0,,,08D,,,887529,887869,340,en een f- armpje aan de zijkant met daar bovenop een eh ruit,,and an f- arm on the side with an eh window on top of it,,,08D,,,True,,Eh ik heb Pinocchio met het armpje die wil knuffelen en bovenop de ruit.,,Um I have Pinocchio with the little arm that wants to cuddle and on top of the window.,,,08D,,True,38,721682.0,722082.0,400.0,887529.0,887869.0,340.0,right,left,right_left
1,10A+10B,B,3.0,3_2,B,10.0,,,10A+10B,,10E+10F,771508,772028,520,A,6.0,6_1,A,10.0,,10A+10B,,10E+10F,,1186675,1186815,140,,Ehm ik heb degene met de armpjes met de bolletjes en de omgevallen paddenstoel.,,Ehm I got the one with the little arms with the balls and the fallen mushroom.,,,10E+10F,10A+10B,True,Ehm ik heb weer die ene met die twee armpjes en die omgevallen paddenstoel.,,Ehm I got the one again with the two little arms and the fallen mushroom.,,10E+10F,10A+10B,,,True,39,771508.0,772028.0,520.0,1186580.0,1186910.0,330.0,both,both,both
1,10E+10F,B,3.0,3_2,B,10.0,,,10A+10B,,10E+10F,771508,772028,520,A,6.0,6_1,A,10.0,,10A+10B,,10E+10F,,1186675,1186815,140,,Ehm ik heb degene met de armpjes met de bolletjes en de omgevallen paddenstoel.,,Ehm I got the one with the little arms with the balls and the fallen mushroom.,,,10E+10F,10A+10B,True,Ehm ik heb weer die ene met die twee armpjes en die omgevallen paddenstoel.,,Ehm I got the one again with the two little arms and the fallen mushroom.,,10E+10F,10A+10B,,,True,40,771508.0,772028.0,520.0,1186580.0,1186910.0,330.0,both,both,both
1,01A,A,3.0,3_5,A,1.0,,01A,,,,795625,795911,286,B,4.0,4_4,B,1.0,,,01A,,,940374,940754,380,Ik heb nu mijn satelliet met de paddenstoel bovenop.,,I now have my satellite with the mushroom on top.,,,01A,,,True,,Ik heb jouw eh satelliet met de paddestoel. #laughs#,,I got your eh satellite with the mushroom #laughs#,,,,01A,True,41,795603.0,795933.0,330.0,940374.0,940754.0,380.0,right,right,right
1,16A,B,3.0,3_8,B,16.0,,,16A,,,819049,819289,240,A,4.0,4_5,A,16.0,,16A,,16C,,948013,948293,280,Ja.,Ik heb degene die met de ovaalvormige aan de bovenkant en aan de linkerkant en verder nog twee uitsteeksels.,Yes.,I have the one with the oval at the top and on the left side and two more protrusions.,,,,16A,True,"Eh ik heb weer die ene met die vier uitsteeksels waarvan twee dezelfde zijn, eentje bovenop en eentje rechts, dat is dat ovaaltje.",,"Um I have the one again with those four protrusions two of which are the same, one on top and one on the right, which is that little oval.",,16C,16A,,,True,42,819004.0,819334.0,330.0,947988.0,948318.0,330.0,both,right,both
1,16C,B,3.0,3_8,B,16.0,,,16C,,,819927,820207,280,A,4.0,4_5,A,16.0,,16A,,16C,,948013,948293,280,Ja.,Ik heb degene die met de ovaalvormige aan de bovenkant en aan de linkerkant en verder nog twee uitsteeksels.,Yes.,I have the one with the oval at the top and on the left side and two more protrusions.,,,16C,,True,"Eh ik heb weer die ene met die vier uitsteeksels waarvan twee dezelfde zijn, eentje bovenop en eentje rechts, dat is dat ovaaltje.",,"Um I have the one again with those four protrusions two of which are the same, one on top and one on the right, which is that little oval.",,16C,16A,,,True,43,819902.0,820232.0,330.0,947988.0,948318.0,330.0,both,left,both
1,13A,A,3.0,3_9,A,13.0,,13A,,,,838961,839121,160,B,4.0,4_6,B,13.0,,,13A,,,957799,958359,560,"Eh ik heb die staande met die eh cirkel eh handjes aan de zijkant,",,"Um I have the standing one with the um circle um hands on the side,",,13A,13A,,,True,,"Ehm ik heb degene die op het plateau staat met de... Ja, ik vond het puppy langkousvlechtjes. #laughs#",,"Um I got the one on the platform with the... yeah, I thought it was puppy longstock braids. #laughs#",,,13A,13A,True,44,838876.0,839206.0,330.0,957799.0,958359.0,560.0,both,both,both
1,13D,A,3.0,3_9,A,13.0,,13D,,,,840861,841341,480,B,3.0,3_9,A,13.0,,,13D,,,844440,845040,600,"op een plateau, zeg maar.",,"On a plateau, so to speak.",,13D,13D,,,True,,"Ehm ja, het plateau helemaal onderop.",,"Um yes, the tray at the very bottom.",,,,13D,True,45,840861.0,841341.0,480.0,844440.0,845040.0,600.0,both,right,both
1,02A,B,3.0,3_10,B,2.0,,,02A,,,852029,852369,340,A,6.0,6_9,A,2.0,,02A,,,,1235067,1235407,340,,Ik heb degene met het omgevallen ijshoorntje op de kop.,,I got the one with the toppled ice cream cone on it.,,,,02A,True,Ehm ik heb hetgene met het ijshoornje bovenop.,,Um I got the one with the ice cream cone on top.,,,02A,,,True,46,852029.0,852369.0,340.0,1235067.0,1235407.0,340.0,right,right,right
1,06B,B,3.0,3_12,B,6.0,,,06B,,,865657,866957,1300,A,6.0,6_11,A,6.0,,06B,,,,1246607,1247367,760,,"Dit is degene eh die de balk vast heeft,",,"This is the one eh holding the beam,",,,,06B,True,Eh ik heb diegene met het armpje met de balk er doorheen.,,Um I have the one with the little arm with the bar through it.,,,06B,,,True,47,865657.0,866957.0,1300.0,1246607.0,1247367.0,760.0,right,right,right
1,06D,B,3.0,3_12,B,6.0,,,06D,,,867901,868221,320,A,4.0,4_3,A,6.0,,06D,,,,933523,933783,260,,,,,,,,06D,True,"Eh ik heb die met dat balkje vast eh door de arm heen, zeg maar, met die cirkel eraan.",,"Um I have the one with that bar stuck eh through the arm, say, with that circle attached to it.",,06D,06D,,,True,48,867896.0,868226.0,330.0,933488.0,933818.0,330.0,both,right,both
1,05A,B,3.0,3_13,A,5.0,,,05A,,,879601,880521,920,A,3.0,3_13,A,5.0,,05A,,,,881577,881817,240,,"Ja, met de balk, recht(e) balk erop liggend, toch?",,"Yes, with the beam, straight(er) beam lying on top of it, right?",,,,05A,True,,"Ja, met de balk, recht(e) balk erop liggend, toch?",,"Yes, with the beam, straight(er) beam lying on top of it, right?",05A,,,,True,49,879601.0,880521.0,920.0,881532.0,881862.0,330.0,left,right,left_right
1,08D,B,3.0,3_14,B,8.0,,,08D,,,887529,887869,340,A,4.0,4_13,A,8.0,,08D,,,,1034761,1034941,180,,Eh ik heb Pinocchio met het armpje die wil knuffelen en bovenop de ruit.,,Um I have Pinocchio with the little arm that wants to cuddle and on top of the window.,,,08D,,True,Ehm ik heb nu die Pinocchio weer met die eh voet en die arm en dat eh ja ruitje bovenop.,,Um I now have that Pinocchio again with that um foot and that arm and that um yes window on top.,,,08D,,,True,50,887529.0,887869.0,340.0,1034686.0,1035016.0,330.0,right,left,right_left
1,14B,B,3.0,3_16,B,14.0,,,14B,,14D,901671,902111,440,A,4.0,4_11,A,14.0,,14B,,14D,,1015461,1015661,200,,Dit is degene met de twee armpjes en het bolletje bovenop,,This is the one with the two arms and the little ball on top,,,14D,14B,True,Eh ik heb die weer met die bol bovenop en die armen en die balk aan de voorkant.,,Um I have the one again with that bulb on top and those arms and that bar on the front.,,14D,14B,,,True,51,901671.0,902111.0,440.0,1015396.0,1015726.0,330.0,both,both,both
1,14D,B,3.0,3_16,B,14.0,,,14B,,14D,901671,902111,440,A,4.0,4_11,A,14.0,,14B,,14D,,1015461,1015661,200,,Dit is degene met de twee armpjes en het bolletje bovenop,,This is the one with the two arms and the little ball on top,,,14D,14B,True,Eh ik heb die weer met die bol bovenop en die armen en die balk aan de voorkant.,,Um I have the one again with that bulb on top and those arms and that bar on the front.,,14D,14B,,,True,52,901671.0,902111.0,440.0,1015396.0,1015726.0,330.0,both,both,both
1,14A,B,3.0,3_16,B,14.0,,,14A,,,903401,903541,140,A,4.0,4_11,A,14.0,,14A,,,,1014738,1014918,180,,Dit is degene met de twee armpjes en het bolletje bovenop,,This is the one with the two arms and the little ball on top,,,14A,,True,Eh ik heb die weer met die bol bovenop en die armen en die balk aan de voorkant.,,Um I have the one again with that bulb on top and those arms and that bar on the front.,,14A,14A,,,True,53,903306.0,903636.0,330.0,1014663.0,1014993.0,330.0,both,left,both
1,14C,B,3.0,3_16,B,14.0,,,14C,,,905520,906260,740,A,4.0,4_11,A,14.0,,14C,,,,1016123,1016383,260,,en de balk voorop.,,and the beam in front.,,,,14C,True,Eh ik heb die weer met die bol bovenop en die armen en die balk aan de voorkant.,,Um I have the one again with that bulb on top and those arms and that bar on the front.,,,14C,,,True,54,905520.0,906260.0,740.0,1016088.0,1016418.0,330.0,right,right,right
1,10B,A,4.0,4_1,A,10.0,,10B,,10F,,913706,914406,700,B,5.0,5_4,B,10.0,,,10B,,10F,1082273,1083473,1200,Eh eh ik heb weer die met die twee armpjes en dat cirkeltje eraan en de omgevallen paddenstoel.,,Um um again I have the one with the two little arms and that little circle on it and the fallen mushroom.,,10F,10B,,,True,,Eh ik heb degene met de armen met de rondjes en de paddenstoel.,,Um I have the one with the arms with the circles and the mushroom.,,,10F,10B,True,55,913706.0,914406.0,700.0,1082273.0,1083473.0,1200.0,both,both,both
