label,label_eng,label_clean,remove
koffiemolen,coffee grinder,koffiemolen,
kralen,beads,kralen,
plaat aan de,plate on the,plaat,
punthoed,pointed hat,punthoed,
voet,foot,voet,
die knuffelt,who hugs,knuffelt,
grappig,funny,grappig,
tak,branch,tak,
een naam voor,a name for,,x
oeh,ooh,,x
in spiegelbeeld,in mirror image,in spiegelbeeld,
de achterkant,the back,,x
op de grond,on the ground,grond,
hoofd,head,hoofd,
koffie,coffee,koffie,
lijken maar,seem but,,x
picknicktafel,picnic table,picknicktafel,
knuppel,bat,knuppel,
zweven,float,zweven,
hula,hula,hula,
Langkous,Longstocking,langkous,
een hoed,a hat,hoed,
twee staf,two staff,staf,
bal op zijn hoofd,ball on his head,bal   hoofd,
rechtsboven,top right,,x
die robot,that robot,robot,
zonder punt,without a point,zonder punt,
daarachter,behind it,,x
boog,arch,boog,
robot,robot,robot,
bolle,convex,bolle,
man met,man with,man,
hoed,hat,hoed,
Piet,Pete,piet,
op een buisje,on a tube,buisje,
drie vier,three four,drie vier,
bollet eraan,bulb,bollet,
hangen,hang,hangen,
dan twee,than two,,x
plaatsen,places,plaatsen,
bak,bin,bak,
juichen persoon,cheering person,juichen persoon,
rond erachter,around behind,rond,
ik hebben de stofzuigrobot,I have the vacuum cleaner robot,stofzuigrobot,
Pijp,Pipe,pijp,
prullenbak,trash can,prullenbak,
L aan de linkerkant,L on the left side,l,
letter,letter,,x
standaard,standard,standaard,
twee uitsteeksel,two protrusions,uitsteeksel,
een blok,one block,blok,
uitkomen,hatch,uitkomen,
hebben twee,have two,,x
schroevendraaier,screwdriver,schroevendraaier,
maar twee,but two,,x
Letter,Letter,,x
Einstein,Einstein,einstein,
kunnen vallen,may fall,kunnen vallen,
die eruit komen,coming out,eruit komen,
zijn vallen,its traps,vallen,
vallen,fall,vallen,
pijp,pipe,pijp,
Schroevendraaier,Screwdriver,schroevendraaier,
een bolle,a convex,bolle,
wiel,wheel,wiel,
erin zijn,in it,,x
alles zijn hoekig,all are angular,alles  hoekig,
borstel,brush,borstel,
tutu,tutu,tutu,
met een soort,with some kind of,,x
bol,sphere,bol,
plat stuk,flat piece,plat stuk,
basketbal,basketball,basketbal,
die kop,that headline,kop,
hanenkam,cockscomb,hanenkam,
stuk aan de,piece to the,stuk,
eigenlijk,actually,,x
de hanenkam,the cockscomb,hanenkam,
de onderkant,the bottom,,x
oog,eye,oog,
omhoog,up,,x
naar voren,forward,voren,
zijn eigenlijk,are actually,,x
hm,hm,,x
de neuspiercing,the nose piercing,neuspiercing,
eraan,to it,,x
cartoon,cartoon,cartoon,
mok,mug,mok,
fietsmand,bike basket,fietsmand,
vijzel,mortar,vijzel,
wc-borstel,toilet brush,wc-borstel,
gereedschapskist,toolbox,gereedschapskist,
horen,hear,horen,
vertellen,tell,vertellen,
Buis,Tube,buis,
een rui,a moult,rui,
linker,left,,x
de rechter,the judge,rechter,
onderzetter,coaster,onderzetter,
eerst,first,,x
haarplukje,hair pick,haarplukje,
de linkerarm,the left arm,linkerarm,
twee kegel,two cone,kegel,
omschrijven,define,omschrijven,
bowlingbal,bowling ball,bowlingbal,
ingaan,Enter,ingaan,
stomp,blunt,stomp,
doorheen zitten,sit through,doorheen zitten,
met twee poot,two-legged,poot,
de Haarpluk,the Hair Pick,haarpluk,
twee balk,two bar,balk,
je bedoelen,you mean,,x
even zoeken,quick search,,x
twee arm,two arm,arm,
één,one,,x
pilaren,pillars,pilaren,
top,top,,x
oor,ear,oor,
schroef,screw,schroef,
schaap,sheep,schaap,
rechts hebben hij,On the right he have,,x
de sportschool,the gym,sportschool,
nog,yet,,x
gewicht,weight,gewicht,
ja top,yes top,,x
kunnen vasthouden,can hold,kunnen vasthouden,
gei,gei,gei,
bijna,almost,,x
ook zo'n,also such a,,x
L,L,l,
wc-pot,toilet bowl,wc-pot,
beginnen,begin,,x
waarvan één,one of which,,x
volgen,follow,volgen,
zegmaar,say,zegmaar,
blauw,blue,blauw,
en link,and link,,x
veel naar links,much to the left,veel,
tipi,teepee,tipi,
net hebben,have just,,x
afgehakte tipi tent,severed tepee tent,afgehakte tipi tent,
bolle aan de voorkant,convex in front,bolle,
dwars,cross,dwars,
kruiwagen,wheelbarrow,kruiwagen,
er bijna,there almost,,x
precies hetzelfde,exactly the same,hetzelfde,
in de arm,in the arm,in  arm,
tipitent,tipitent,tipitent,
krom,crooked,krom,
kip,chicken,kip,
op staat,on it,staat,
cactus,cactus,cactus,
Oh ik hebben nu,Oh I have now,,x
er tegenaan,against it,tegenaan,
keer hebben,times have,keer,
naald,needle,naald,
twee lepelt,two spoons,lepelt,
Eend,Duck,eend,
bakfiets,bakfiets,bakfiets,
ovalen,oval,ovalen,
daaruit,from that,daaruit,
gebouw,building,gebouw,
drinken,drink,drinken,
rechts en,right and,,x
zwembad,pool,zwembad,
en dan twee,and then two,,x
waar,where,,x
ja ja kloppen,yes yes yes knock,kloppen,
zoeken,search,,x
een half,half,half,
gek,crazy,gek,
met die olifantenslurf,with that elephant trunk,olifantenslurf,
spriet,sprite,spriet,
ober,waiter,ober,
olifantenslurf,elephant trunk,olifantenslurf,
giraf,giraffe,giraf,
schild,shield,schild,
Spijkerachtig iets,Spiky something,spijkerachtig iets,
het cijfer of,the figure or,cijfer of,
voorkant,front,,x
waarvan ik zeggen,of which I say,,x
de linkerkant,the left side,,x
onderkant,bottom,,x
afgezaagd,trite,afgezaagd,
dit zijn die met die bol,these are the ones with the bulb,bol,
rok,skirt,rok,
luchtschacht,air shaft,luchtschacht,
vlecht,braid,vlecht,
pluimp,plume,pluimp,
steeds,becoming,steeds,
platgeslagen,flattened,platgeslagen,
afzuigkap,extractor,afzuigkap,
sprie,sprie,sprie,
Afzuigkap,Extractor,afzuigkap,
gewoon een,just a,,x
tafelpo,tablepo,tafelpo,
verjaardagshoed,birthday hat,verjaardagshoed,
lepelt,spoons,lepelt,
aan de rechterkant een snavel,on the right a beak,snavel,
met een kuif,with a crest,kuif,
punaise,thumbtack,punaise,
draaien hartje,twist heart,draaien hartje,
deksel,lid,deksel,
plank,board,plank,
plateauo,plateauo,plateauo,
dit doen mij een beetje denken aan,this remind me a little of,doen mij   denken,
erdoorheen,through it,erdoorheen,
duwen,push,duwen,
een lepel,a spoon,lepel,
twee hak,two heel,hak,
een bakje,a container,bakje,
een feesthoed,a party hat,feesthoed,
plateauotje,tray,plateauotje,
rust,rest,rust,
eentje aan de,one to the,,x
helemaal op de grond,completely on the ground,grond,
een plateau,a plateau,plateau,
drie verschillend,three different,drie verschillend,
vormp,formp,vormp,
uiteind,tip,uiteind,
ondersteunen,support,ondersteunen,
een vogel,a bird,vogel,
korfbal,korfball,korfbal,
ook twee,also two,,x
splinter,splinter,splinter,
een basketbalnet,a basketball net,basketbalnet,
boek,book,boek,
voorwerp,object,voorwerp,
een voorwerp,an object,voorwerp,
een neuspiercing,a nose piercing,neuspiercing,
citrusper,citrusper,citrusper,
een platform onder,a platform among,platform onder,
ik vinden het,I find it,,x
moeilijk,difficult,moeilijk,
zijn weer,are again,,x
een haak,a hook,haak,
inderdaad,indeed,,x
de ballerina,the ballerina,ballerina,
naam,name,,x
buis,tube,buis,
knop,button,knop,
vraagwolk,demand cloud,vraagwolk,
pot,pot,pot,
idee,idea,idee,
en de citroenper,and the lemon per,citroenper,
Mario,Mario,mario,
Job,Job,job,
de raket,the rocket,raket,
met het schaalt,with it scales,schaalt,
kraalt,kraalt,kraalt,
pannenkoek,pancake,pannenkoek,
met de bobbel,with the bulge,bobbel,
vast,fixed,vast,
meetlint,tape measure,meetlint,
champignon,mushroom,champignon,
jarig,birthday,jarig,
de pot,the pot,pot,
spagaat,splits,spagaat,
geit,goat,geit,
doorn,thorn,doorn,
dansen,dance,dansen,
K,K,,x
doorklikken,click through,doorklikken,
Top,Top,,x
A,A,,x
een hoek,one corner,hoek,
flatgebouw,apartment building,flatgebouw,
die naar elkaar toe gaan,going to each other,elkaar toe gaan,
doorheen gaan,pass through,doorheen gaan,
eh even kijken,um let's see,,x
een driehoek,a triangle,driehoek,
twee poot,two-legged,poot,
ook weer,again,,x
een staart,a tail,staart,
en aan de rechterkant,and on the right side,,x
alleen,only,,x
twee flatgebouw,two apartment building,flatgebouw,
het kop,the head,kop,
even lang,equally long,lang,
wijnflesachtig,wine bottle-like,wijnflesachtig,
een vierkant,a square,vierkant,
balk naar beneden,bar down,balk  beneden,
ik vinden het een beetje op,I find it a bit on,,x
V,V,v,
Pac-Man,Pac-Man,pac-man,
dik neus,thick nose,dik neus,
op een olifant,on an elephant,olifant,
aan beide kant,on both sides,,x
steel,steel,steel,
zout,salt,zout,
peper,pepper,peper,
twee ruit,two pane,ruit,
tent,tent,tent,
tulp,tulip,tulp,
kindertafel,children's table,kindertafel,
ook,also,,x
hij een pluk,he a pick,pluk,
in mijn hoofd zijn,be in my head,in mijn hoofd,
een plat bovenkant,a flat top,plat,
koelkastdeur,refrigerator door,koelkastdeur,
poten,paws,poten,
tafelblad,table top,tafelblad,
rok om,skirt to,rok om,
licht,light,licht,
clownsneus,clown nose,clownsneus,
bovenop zitten,sit on top,zitten,
lichtinval,light,lichtinval,
waarvan,of which,,x
diepte,depth,diepte,
geschoven,slid,geschoven,
driehoekig,triangular,driehoekig,
spatel,spatula,spatel,
kom,come,kom,
even kijken waar zijn hij,let's see where are he,,x
standbeeld,statue,standbeeld,
emmer,bucket,emmer,
rechts komen,come right,komen,
doorboren worden,pierce,doorboren worden,
krab,crab,krab,
voetstuk,pedestal,voetstuk,
voorwerp op,object on,voorwerp,
geweldig,great,geweldig,
open,open,open,
klep,valve,klep,
hoofddeksel,headgear,hoofddeksel,
weer omschrijven,describe again,omschrijven,
staaf op zijn hoofd,rod on his head,staaf   hoofd,
bijtafel,side table,bijtafel,
we gewoon ver,we just far,we gewoon ver,
ja en de plaat,yes and the record,plaat,
kapiteinshoed op,captain's hat on,kapiteinshoed,
zakken,bags,zakken,
snel,fast,snel,
afgeknipte,cut off,afgeknipte,
piramide aan de voorkant,pyramid in front,piramide,
euh,euh,,x
oke,okay,,x
twee staaf,two bar,staaf,
Euhm,Euhm,,x
basketkorf,basket basket basket,basketkorf,
ballonnet,balloon net,ballonnet,
kristalle,crystal,kristalle,
de Cup met,the Cup with,cup,
met die twee schroevendraaihandvat,with those two screwdriver handles,schroevendraaihandvat,
omgekeerd,reverse,omgekeerd,
cup,cup,cup,
feestmuts,party hat,feestmuts,
basket,basket,basket,
Cup,Cup,cup,
wokkel,wokkel,wokkel,
oppervlakte,area,oppervlakte,
streep,stripe,streep,
twee pijlt,two darts,pijlt,
de linker zijn,the left ones are,,x
object,object,,x
omarmen,embrace,omarmen,
een pingpongballe,a ping pong ballle,pingpongballe,
potloodpunt,pencil tip,potloodpunt,
fontein,fountain,fontein,
tornado,tornado,tornado,
pirouette,pirouette,pirouette,
juichen,cheer,juichen,
sokkel,pedestal,sokkel,
vrij,free,vrij,
de mat,the mat,mat,
identiek,identical,identiek,
omgekeerde,reverse,omgekeerde,
doorboord,pierced,doorboord,
bowlingkegel,bowling cone,bowlingkegel,
afgetopte,capped,afgetopte,
ballet,ballet,ballet,
eurostuk,euro piece,eurostuk,
man,man,man,
en daarnaast,as well as,,x
een balk aan de voorkant,a beam at the front,balk,
met het euh,with the euh,,x
een balk,a bar,balk,
ja even,yes for a moment,,x
bollet met,bollet with,bollet,
pij,pipe,pij,
de toeter,the horn,toeter,
Euh,Euh,,x
schap,shelf,schap,
snor,mustache,snor,
springplank,springboard,springplank,
ongelijk,uneven,ongelijk,
pijpje,pipe,pijpje,
laugh,laugh,,x
de schijf,the disk,schijf,
gaan steeds,are always going,gaan steeds,
een half rond,a half round,half rond,
pilaar,pillar,pilaar,
er,er,,x
helft,half,helft,
pluk haar,strand of hair,pluk haar,
schep,scoop,schep,
eiffeltoren,eiffel tower,eiffeltoren,
een heel,a very,,x
ehh,ehh,,x
steekt,stabs,steekt,
met twee Eiffeltorens,with two Eiffel towers,eiffeltorens,
plateaut,plateaut,plateaut,
Eeh,Eeh,,x
Eiffeltoren,Eiffel Tower,eiffeltoren,
met twee schuin poot,with two angled leg,schuin poot,
dik,thick,dik,
kort dan,briefly then,kort,
dikke,big,dikke,
staar,cataract,staar,
de beker,the cup,beker,
een satelliet,a satellite,satelliet,
er één,one,,x
spiegel,mirror,spiegel,
kabouter,gnome,kabouter,
puntmuts,pointed hat,puntmuts,
kurkentrekker,corkscrew,kurkentrekker,
rietje,straw,rietje,
veel lang,much longer,veel lang,
twee hetzelfde,two the same,hetzelfde,
Angry,Angry,angry,
insect,bug,insect,
rie,rie,rie,
links één naar rechts,left one to right,,x
er twee,there are two,,x
wachten,wait,,x
soeplepel,ladle,soeplepel,
dit zijn euh,these are euh,,x
toejuichen,acclaim,toejuichen,
de glijbaan,the slide,glijbaan,
kindje,baby,kindje,
rond aan de voorkant,round in front,rond,
één been,one leg,been,
dus één,so one,,x
twee uitsteksel,two protrusions,uitsteksel,
schijf,disk,schijf,
kogel,bullet,kogel,
hoi,hi,,x
links en,left and,,x
cocktail,cocktail,cocktail,
cirkeltje,circle,cirkeltje,
wc,toilet,wc,
poppe,pop,poppe,
Ohja,Oh yes,,x
rij,row,rij,
rechtop,upright,,x
Mohawk,Mohawk,mohawk,
het citroenschijf,the lemon slice,citroenschijf,
wegwijzer,signpost,wegwijzer,
veer,spring,veer,
kampioensbeker,championship cup,kampioensbeker,
Euh ik hebben nu die,Euh I now have those,,x
veert,springs,veert,
de bowlingkegel,the bowling pin,bowlingkegel,
ligbed,lounger,ligbed,
sneeuwschuiver,snowplow,sneeuwschuiver,
de rechterkant,the right side,,x
symmetrisch,symmetrical,symmetrisch,
blok die,block that,blok,
basisvorm heen,basic shape across,basisvorm heen,
citroenschijfje,lemon slice,citroenschijfje,
gezicht,face,gezicht,
sneeuwschep,snow shovel,sneeuwschep,
Euh ik hebben,Uh I have,,x
spits,pointed,spits,
met die bolal erop,with that bolal on it,bolal,
een recht,a right,,x
euh deze hebben,euh these have,,x
beginnen en,begin and,,x
een groot,a large,groot,
eindigen,end,eindigen,
uitlopen,run out,uitlopen,
aan de bovenkant en,at the top and,,x
zo'n,about,,x
onderuit,down,onderuit,
twee vierkant,two square,vierkant,
op zijn kant,on its side,,x
lopen,run,lopen,
duidelijk,clearly,duidelijk,
veerachtig,feathery,veerachtig,
niet helemaal,not exactly,,x
een kubus,a cube,kubus,
kra aan,kra to,kra,
bolle aan de,convex to the,bolle,
die twee gelijk,those two equal,gelijk,
nu één,now one,,x
lijken alsof,appear as if,,x
het gezicht zullen,the face will,gezicht zullen,
krael aan,scratch to,krael,
gleuf,slot,gleuf,
Ehm ik hebben er nu één,Um I have one now,,x
heel puntig,very pointed,puntig,
vierkant door het,square by the,vierkant door,
plat drukken,flatten,plat drukken,
ik hebben er één,I have one,,x
L-vormig,L-shaped,l-vormig,
aan de rechtervoorzijde,on the right front side,,x
ik hebben nu die met die twee,I now have the one with the two,,x
twee vear,two vear,vear,
de bovenkant en,the top and,,x
pizzapunt,pizza point,pizzapunt,
langkous,langkous,langkous,
de linkerkant zijn,the left side are,,x
puntigst hoed,pointed hat,puntigst hoed,
bakje erop,tray on top,bakje,
omhelsten,embraced,omhelsten,
de hemel,heaven,hemel,
uiteinde,end,uiteinde,
Flamingo,Flamingo,flamingo,
flamingo,flamingo,flamingo,
Pipi,Pipi,pipi,
nek,neck,nek,
die een beetje,which is a little,,x
geruit,checkered,geruit,
zijn kort dan de,are short than the,kort,
kijken waar,look where,,x
en dan,and then,,x
ergens uitkomen,get out somewhere,ergens uitkomen,
serviesbak,serving bowl,serviesbak,
kerktoren,church tower,kerktoren,
waar die,where those,,x
selderij,celery,selderij,
Uh,Uh,,x
uhm,uhm,,x
Uhm,Uhm,,x
bokaal,goblet,bokaal,
kantelen,tilt,kantelen,
uur,hours,uur,
pauzeknop,pause button,pauzeknop,
flap,flap,flap,
voelsprietjes,feelers,voelsprietjes,
een hendel,a lever,hendel,
wijzen naar rechts,pointing to the right,wijzen,
uitlaatklep,outlet,uitlaatklep,
luik,hatch,luik,
septempiercing,septempiercing,septempiercing,
versnellingspook,gearshift,versnellingspook,
handvatt,handle,handvatt,
donker,dark,donker,
theepo,theepo,theepo,
platformpje,platform,platformpje,
lastig,tricky,lastig,
ventilatieschacht,ventilation shaft,ventilatieschacht,
pennenbakje,pen tray,pennenbakje,
meneer Krabs,Mr. Krabs,meneer krabs,
een rond aan de rechterkant,one around to the right,rond,
ik noemen,I mention,,x
beschrijven,describe,,x
eh ik hebben die,um I have those,,x
vierkantig,square,vierkantig,
teken,sign,teken,
zijn gelijk,are equal,gelijk,
plat rond aan de,flat round to the,plat rond,
eromheen,around it,eromheen,
ik hebben die met de spie,I have the one with the wedge,spie,
buisjes,tubes,buisjes,
linkerkant,left side,,x
twee rechthoekig,two rectangular,rechthoekig,
reling,railing,reling,
knop drukken,press button,knop drukken,
staan op,are on,,x
ehm deze hebben,um have these,,x
paddenstoel bovenop,mushroom on top,paddenstoel,
ei bovenop,egg on top,ei,
er dwars doorheen,right through it,dwars doorheen,
lampenkapp,lampshade,lampenkapp,
dat bak,that bin,dat bak,
telescoopding,telescope thing,telescoopding,
zo'n hexagon,such a hexagon,hexagon,
twee telescooparme,two telescopic low,telescooparme,
en links,and left,,x
ook nog twee,also two more,,x
die blok,that block,blok,
daarnaast,in addition,,x
een arm,one arm,arm,
linkerarm,left arm,linkerarm,
de linker,the left,,x
en dan onderin,and then at the bottom,,x
disk,disk,disk,
munt,coin,munt,
en dan bovenin,and then at the top,,x
rond neus,round nose,rond neus,
een gebouw,a building,gebouw,
zullen kunnen landen,will be able to land,zullen kunnen landen,
los,loose,los,
helikopterplatform,helicopter pad,helikopterplatform,
fotolijst,photo frame,fotolijst,
