label,label_eng,remove,note
rond,around,,
̩̩n,̩̩n,,
bloembak,flower box,,
de helft,half,,
en aan de zijkant,and on the side,x,
een rond bovenop,a round on top,,
vinden het,find it,,
liggen,lie,,
twee schoorsteent,two chimney stacks,,
aan de voorkant een,at the front a,x,
"in het midden ,","in the middle ,",x,
rond Buis,round Tube,,
dwars,dwars,,
klein,small,,
schoorsteen,chimney,,
van dik naar dun,thick to thin,,
van dun naar dik,from thin to thick,,
groot,great,,
uitsteekken,protruding,,
zijn hoofd,his head,,
schroef,screw,,
paddestoel,mushroom,,
deze hebben,these have,x,
een scherm,a screen,,
kogel,bullet,,
neus,nose,,
pyramide,pyramid,,
punthoed,pointed hat,,
deze staat,this state,,
statief,tripod,,
fez,fez,,
okee,okee,x,
rechts twee,right two,,
hoofd,head,,
hanekam,hanekam,,
oor,ear,,
aardappelneus,potato nose,,
een cirkel,a circle,,
het lijken,it seems,x,
pluimp op,plume on,,
parasolle,parasolle,,
vinden,find,x,
op bed,in bed,,
haak,hook,,
het plateau,the plateau,,
krijgen,get,,
wachten,watched,,
op zijn hoofd,on his head,,
pinokkio-neus en,pinocchio-nose and,,
pinokkio-neus,pinocchio-nose,,
half,half,,
cirkel,circle,,
langwerpig,oblong,,
link,link,,
standaard,standard,,
gieter,gieter,,
lijken,appear,,
links en rechts met,left and right with,x,
een nagel,a nail,,
water,water,,
drukken,print,,
spuugen,spuugen,,
vlecht,braid,,
bol,bol,,
sumoworstelaar,sumo wrestler,,
lang neus,long nose,,
rokje,skirt,,
slurfje,trunk,,
noemen,cite,,
hendel,hendel,,
konijn,rabbit,,
knop,button,,
het vierkan,the square,,
twee blokkentoren,two block tower,,
soort van,sort of,x,
nou,nou,x,
eindigen,end,,
blok,block,,
twistervorm,twist shape,,
aan de onderkant,underneath,x,
die erbovenop liggen,which are on top,x,
dinge er,things are,,
druppel,drop,,
een soort van,a kind of,x,
gek,crazy,,
blokkentoren,block tower,,
ingestoken,inserted,,
druppelvorm,drop shape,,
het kop,the head,,
erachter,behind,x,
een balk,a bar,,
er net bovenuit,just above,x,
rechtsboven,top right,x,
zonnepaneel,solar panel,,
een beetje,somewhat,,
ding erdoorheen,thing through it,,
kegelvorm,cone shape,,
schotel aan de,dish to the,,
slaan,hit,,
het balkje,the bar,,
ruit,ruit,,
aan de bovenkant,at the top,x,
voorop,ahead,x,
liggen een,lie a,,
IKEA-sleutel,IKEA key,,
l-vorm,l-shape,,
eruit,out,,
twee klein,two small,,
voorop,block tour,,
twee druppelvorme,two drop shape,,
en de blokkentoer rechts,and the block tour on the right,,
steeds,becoming,,
bovenop,on top of,,
raar,weird,,
voetstuk,pedestal,,
twee gelijkwaardig,two equivalent,,
scherp,shearp,,
balk bovenop,bar on top,,
eraf,off,,
net,net,,
ontstopper,plunger,,
hand,hand,,
door het voorwerp,by the object,x,
̩̩n er,one there,x,
vleugel,wing,,
zien,see,,
helft,half,,
achterkant,backside,x,
zijn aan de linkerkant,are on the left side,x,
kort,short,,
dobber,float,,
hoog,high,,
pijl,arrow,,
bollet,ball,,
plaat eronder,plate underneath,,
naar je toe wijzen,point to you,,
erop,on it,x,
twin tower,twin tower,,
glijbaan,slide,,
aan de zijkant ook ja,On the side also yes,x,
satelliet,satelliet,,
tipitent,tipitent,,
helemaal,helemaal,,
driehoekje,triangle,,
beker,cup,,
even kijken,let's see,x,
plateau,plateau,,
twee streep,two stroke,,
houdertje,holder,,
bedoelen,mean,,
post its,post its,,
top,top,,
een stopcontact,an outlet,,
omschrijven,define,,
vulkaan,volcano,,
boek,book,,
lang,lang,,
staafje,rod,,
aan de linkerzijde,on the left,x,
echt een,really a,x,
tuitje,spout,,
muur,wall,,
vastgemaakt,attached,,
houder,holder,,
twee poot,two-legged,,
een blok,one block,,
poo,poo,,
bekertje,cup,,
nog twee,two more,x,
citroen,lemon,,
cocktail,cocktail,,
niet helemaal,not exactly,x,
zijn plakken,its slices,,
onderkant,bottom,x,
handvat,handle,,
stomp,stomp,,
opengeslagen,open,,
kwas,acid,,
aan de bovenzijde,at the top,x,
aan de onderzijde,underneath,x,
de rechterzijde,the right side,x,
linker uitsteeksel,left protrusion,,
naald,needle,,
kaneelstaafje,cinnamon stick,,
op een plateau,on a plateau,,
spiraal,spiral,,
twee armp,two armp,,
rechts en,right and,x,
korfbal,korfball,,
slurf,trunk,,
twee balk bovenop,two bar on top,,
antennedinget,antenna unit,,
kwast,quack,,
een roerstaafje,a stirrer,,
kubus,cube,,
vierkan,square,,
oog,oog,,
antenne,antennas,,
verrekijker,binoculars,,
omhoog,upwards,,
wokkel,wokkel,,
de rechterkant,the right side,x,
blik,blik,,
dienblad,tray,,
rechthoek,rectangle,,
figuur,Figure,,
kap,kap,,
pluimp,plume,,
uiteinde,end,,
kop met,head with,,
een schijf,one disk,,
Springstok,Jumping pole,,
staart,tail,,
schaal,scale,,
schaalt,scales,,
staar,cataract,,
tipiten,tipiten,,
legoblokjes,lego bricks,,
toiletpot,toiletpot,,
schijf,disk,,
ja precies,ja precies,,
uitsteekt,protruding,,
stropdas,tie,,
eineus,eineus,,
lat,lat,,
een la,a drawer,,
twee ding,two thing,,
vangrail,vangrail,,
deze zijn er niet doorheen zakken,these have not fallen through,,
kraal,kraal,,
houten,wooden,,
een ei,an egg,,
ei bovenop,egg on top,,
verticaal,vertical,,
eit,eit,,
zakken,bags,,
haakje,hook,,
precies,precies,,
linksvoor,left front,x,
twee blok,two block,,
die trapeze,that trapeze,,
simpel,simpel,,
emmer,bucket,,
gezicht,face,,
zo'n soort,that kind of,x,
ovaal,oval,,
zo'n heel,such a,x,
kralenketting,kralenketting,,
dinge,thinge,,
haaks op elkaar,perpendicular,,
handvatt,hand-washing,,
aan de bovenkant en,at the top and,x,
handvate,mitt,,
pixeliseren,pixelize,,
naar dik,to thick,,
arm,arm,,
puntmuts,pointed hat,,
ISteken,ISign,,
dat zijn nummer,that his number,x,
egaalteken,evenmark,,
punt,punt,,
compact,compact,,
mouw,mouw,,
dat ding,that thing,,
een voetstuk en,a pedestal and,,
plat rond,flat round,,
wespenlichaam,wasp body,,
toeter,horn,,
pippi,pippi,,
drie bollet,three ballet,,
door de tafel,through the table,,
krom,except,,
die steeds groot worden,who keep getting big,,
been,been,,
gootje,gootje,,
bovenkant,top,x,
stuk,piece,,
linkerkant van het midden,left of center,x,
een bal,a ball,,
en daarvoor,and before that,x,
piramide op,pyramid on,,
links en,left and,x,
voe,voe,,
pinokkioneus,pinocchio,,
met aan beide kant,with on both sides,x,
en bovenop,and on top of,x,
kunnen zetten,can put,,
op tafel,on the table,,
niet erbovenop,not on top,x,
inderdaad,indeed,x,
ballet,ballet,,
een vierkant,a square,,
bal,bal,,
de emmer,the bucket,,
ook vier,also four,x,
liniaal,Liniaal,,
cirkel aan de voorkant,front circle,,
linksachter,rear left,x,
ervoor,before,x,
Antenne,Antenna,,
hol,hol,,
koffiefilter,coffee filter,,
theepot,teapot,,
bloempot die,flowerpot that,,
gewoon een,just a,x,
omschrijven als,describe it as,x,
Raketbooster,Rocket booster,,
horen,hear,,
wc-rolhouder,toilet roll holder,,
halter,holder,,
vier kubus aan,four cube to,,
mogen beginnen,may begin,,
pipet,pipet,,
inkeping,notch,,
fiets,bike,,
konijnenoor,rabbit ear,,
oort,ear,,
vier kubus,four cube,,
vorm,form,,
joystick,joystick,,
wiskundig,mathematical,,
driehoekig,triangular,,
twee identiek,two identical,,
raket,rocket,,
neuspiercing,neuspiercing,,
appelsteel,apple stalk,,
kapstok,coat rack,,
lijken op,resemble,,
wijzen,indicate,,
dwars door het,right through the,,
het fietsstuur,the bicycle handlebars,,
kegelt,skittles,,
zijn er maar ̩̩n,there are only one,x,
de onderkant,the bottom,x,
roken,smoking,,
ballerina,ballerina,,
door het kop,by the head,,
de dansen,de dansen,,
identiek,identical,,
knuppel,bat,,
sterrenkijker,stargazer,,
linksonder,bottom left,x,
lampenkap,lamp cap,,
bakje,container,,
driehoek op,triangle on,,
pilvormig,pill-shaped,,
cactus,cactus,,
gewoon,simply,,
staf,staff,,
de uiteind,the final,,
links en rechts,left and right,x,
rechtsvoor,right front,x,
een driehoeksstaaf,a triangle bar,,
har,har,,
maar ̩̩n,only one,,
staan een,are a,x,
bovenop en,on top and,x,
een kapstok,a coat rack,,
staafjes,bars,,
en rechts,and right,x,
vlak,flat,,
bokaal,bokaal,,
met ijsblok,with ice cube,,
ISteken aan de rechterkant,ISign on the right,,
piercing,piercing,,
twee verrekijker aan de,two binoculars to the,,
piratenverrekijker,pirate binoculars,,
half cirkel,semi-circle,,
hondenkoek,dog cake,,
trompet,trompet,,
de lang,de lang,,
recht,right,x,
spriet bovenop,sprit on top,,
voelsprie,feeler spike,,
voorkant,front,x,
piramide,pyramid,,
streep,stripe,,
attachment,attachment,,
balkje,bar,,
donker,dark,,
daaronder,underneath,x,
twee rond aan,two around to,,
twee bollet,two bollet,,
sierlijk,graceful,,
staafje aan de,rod on the,,
̩̩n zijn,be one,,
lepeltje,spoon,,
rechter,right,,
trompe,trompe,,
een plateau onder,a plateau under,,
het kop heen,the head over,,
die robot,the robot,,
dit zijn weer,these are again,,
gedraaide,twisted,,
cilinder,cilinder,,
weer met,again with,x,
aflopen,expire,,
een rondachtig,a roundish,,
ei met,ei met,,
er doorheen,through,,
rek,rek,,
dat gek,that crazy,,
zegmaar,say,,
hoek,corner,,
zeshoekig,hexagonal,,
deksel,dexel,,
hij staan,he stand,,
paal,post,,
schuin,slanted,,
ja dit zijn weer met,yes these are again with,x,
tafelt,tables,,
die dinge,those things,,
een bel,a bell,,
bijna,almost,,
vallen,fall,,
beeld,image,,
zitten,sit,,
zo'n kromming,such a curve,,
schep,scoop,,
en dat bekertje,and that cup,,
eraan,to it,,
sorry,sorry,x,
bank,bank,,
komma,comma,,
kromom,chromom,,
moeten uitleggen,have to explain,x,
vak,vak,,
verhogink,verhogink,,
pedaal,pedal,,
ja met die stang,yes with that rod,,
okee dat zijn,okay those are,x,
dinge uit,things out,,
dat cirkeltje,that little circle,,
zo'n beitel,such a chisel,,
rechthoekig,rectangular,,
buis,tube,,
hoofdvorm,main form,,
klein worden,dwindle,,
een yoghurtbak,a yogurt bowl,,
yoghurtbakje,yogurt container,,
feestmuts op,party hat on,,
eraan vastgeplakt,tacked on,,
taartpunt,cake tip,,
de hoofdvorm,the main form,,
yoghurtbak,yogurt bowl,,
op zijn kop,upside down,,
een langwerpig,an oblong,,
vast,reply to,,
keer,times,,
eigenlijk,actually,,
tafelpoot,table leg,,
kraan,tap,,
eronder,underneath,x,
kraantje,tap,,
daaraan,thereto,,
waarbij,in which,,
weer de,again the,,
aan de uiteinde,at the tip,,
en links,and left,x,
hebben je weer,have you again,x,
een staafje,a stick,,
aan de linkerkant die,on the left that,x,
daarop,thereon,,
ronde,round,,
zo ineen,together like this,,
steeds klein worden,get smaller and smaller,,
trechter,funnel,,
helikopter,helicopter,,
baseballbat,baseballbat,,
schuin vierkant,oblique square,,
zijn hij wat kort,are he a little short,,
pen,pen,,
penachtig,penachtig,,
bijzettafel,side table,,
dat platform,data platforms,,
kra,kra,,
handvaet,hand crank,,
theekop,teacup,,
een slurf,a trunk,,
die blok die,that block that,,
een paddestoel,a mushroom,,
een klein,a small,,
rechthoeak,rectangular,,
deze hebben een,these have a,x,
en aan de rechterkant,and on the right side,,
bedoelen je,do you mean,x,
zonder top,without top,,
bedoelen met,mean by,x,
uitleggen,explain,,
lang dan,lang and,,
plat cirkel,flat circle,,
diaman,diaman,,
uitstulpsel,protrusion,,
balle,balle,,
schroef aan de,screw on the,,
