Begin Time - msec	End Time - msec	Duration - msec	A_LH_gesture	A_RH_gesture	B_LH_gesture	B_RH_gesture	File	File Path	A_LH_gesture_beat	A_LH_gesture_comments	A_LH_gesture_deixis	A_LH_gesture_iconicity	A_LH_gesture_pragmaticality	A_LH_gesture_referent	A_RH_gesture_beat	A_RH_gesture_comments	A_RH_gesture_deixis	A_RH_gesture_iconicity	A_RH_gesture_pragmaticality	A_RH_gesture_referent	A_speech	A_speech_eng	B_LH_gesture_beat	B_LH_gesture_comments	B_LH_gesture_deixis	B_LH_gesture_iconicity	B_LH_gesture_pragmaticality	B_LH_gesture_referent	B_RH_gesture_beat	B_RH_gesture_comments	B_RH_gesture_deixis	B_RH_gesture_iconicity	B_RH_gesture_pragmaticality	B_RH_gesture_referent	B_speech	B_speech_eng	accuracy	comments	correct_answer	director	given_answer	round	target	trial
104233	104673	440		gesture			001.eaf												1.0		Eh ik heb nu de vierkant dus ik ga beginnen met sch- beschrijven.	Um I now have the square so I am going to start sch- describe.																	8	A		1.0	15.0	1_3
107604	108144	540	gesture	gesture			001.eaf			The gesture seems to depict floating		1.0		other				1.0		other	Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit	Um it looks like it floats, because there is, say, a plate on half of that thingy																	8	A		1.0	15.0	1_3
108801	109321	520	gesture	gesture			001.eaf			unsure about this one			1.0						1.0		Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit	Um it looks like it floats, because there is, say, a plate on half of that thingy																	8	A		1.0	15.0	1_3
109461	110021	560	gesture	gesture			001.eaf					1.0		15C-REP				1.0		15C-REP	Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit	Um it looks like it floats, because there is, say, a plate on half of that thingy																	8	A		1.0	15.0	1_3
110628	111168	540	gesture	gesture			001.eaf					1.0		15C-rep				1.0		15C-rep	Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit	Um it looks like it floats, because there is, say, a plate on half of that thingy																	8	A		1.0	15.0	1_3
112647	113207	560	non-gesture				001.eaf														en het lijkt alsof er naar die plaat een soort van glijbaan gaat	and it looks like there's some kind of slide going to that plate																	8	A		1.0	15.0	1_3
113461	114067	606	gesture				001.eaf					1.0		15B							en het lijkt alsof er naar die plaat een soort van glijbaan gaat	and it looks like there's some kind of slide going to that plate																	8	A		1.0	15.0	1_3
114707	115207	500	non-gesture				001.eaf														en dat hij tegelijk een een pijp aan het roken is	and that at the same time he is smoking a pipe																	8	A		1.0	15.0	1_3
115447	116147	700	gesture				001.eaf					1.0		15D							en dat hij tegelijk een een pijp aan het roken is	and that at the same time he is smoking a pipe																	8	A		1.0	15.0	1_3
120175	120615	440	gesture	gesture			001.eaf				1.0	1.0		15A			1.0	1.0		15A	met m-met twee uitlaatdingetjes erbovenop.	With m-with two exhaust things on top.																	8	A		1.0	15.0	1_3
129795	130415	620				gesture	001.eaf																									1.0		14B+14D	Een soort cilinders met een klein hoekje aan de linkerkant.	Sort of cylinders with a small corner on the left side.			I	B		1.0	14.0	1_4
131201	131541	340			gesture		001.eaf																		1.0	1.0	1.0	14D							Een soort cilinders met een klein hoekje aan de linkerkant.	Sort of cylinders with a small corner on the left side.			I	B		1.0	14.0	1_4
133136	134256	1120				gesture	001.eaf																									1.0		14C-REP	En één lange ehm rechtopstaande balk voorop.	And one long um upright beam in front.			I	B		1.0	14.0	1_4
135150	135670	520				non-gesture	001.eaf																												En één lange ehm rechtopstaande balk voorop.	And one long um upright beam in front.			I	B		1.0	14.0	1_4
136190	136510	320				gesture	001.eaf																						1.0			1.0		14C-rep	En één lange ehm rechtopstaande balk voorop.	And one long um upright beam in front.			I	B		1.0	14.0	1_4
137731	138071	340				gesture	001.eaf																						1.0		1.0				En dan zit er achter nog een bolletje bovenop.	And then there's another ball on top behind it.			I	B		1.0	14.0	1_4
138517	139057	540				gesture	001.eaf																						1.0						En dan zit er achter nog een bolletje bovenop.	And then there's another ball on top behind it.			I	B		1.0	14.0	1_4
142326	143486	1160	gesture	gesture			001.eaf			Unsure which hand refers to which subpart exactly		1.0		14B				1.0		14D	Ja, ja, ja en die cilinders hebben zo een soort van kronkeltje lijkt het	Yes, yes, yes and those cylinders have this kind of twist it seems																	I	B		1.0	14.0	1_4
144705	145205	500		gesture			001.eaf												1.0		Ja, okÃ©, yes, *I*.	Yes, okay, yes, *I*.																	I	B		1.0	14.0	1_4
151001	151621	620	gesture	gesture			001.eaf					1.0		13D				1.0		13D	OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes	Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls																	2	A		1.0	13.0	1_5
152833	153153	320	gesture	gesture			001.eaf					1.0		13A				1.0		13A	OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes	Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls																	2	A		1.0	13.0	1_5
153668	154228	560	gesture	gesture			001.eaf					1.0		13A				1.0		13A	OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes	Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls																	2	A		1.0	13.0	1_5
163365	163625	260				gesture	001.eaf																								1.0				Bovenop is een soort ovaal, zeg maar, soort bovenkant van een soeplepel.	On top is a kind of oval, say, kind of top of a soup ladle.			B	B		1.0	16.0	1_6
165805	166685	880				gesture	001.eaf																						1.0	Metaphorical representation, holding the handle of a ladle		1.0		16A	Bovenop is een soort ovaal, zeg maar, soort bovenkant van een soeplepel.	On top is a kind of oval, say, kind of top of a soup ladle.			B	B		1.0	16.0	1_6
168819	169239	420				gesture	001.eaf																								1.0				Dat heb je ook aan de linkerzijkant.	You also have that on the left side.			B	B		1.0	16.0	1_6
170120	170980	860				gesture	001.eaf																						1.0						Dat heb je ook aan de linkerzijkant.	You also have that on the left side.			B	B		1.0	16.0	1_6
171423	171983	560				non-gesture	001.eaf																																B	B		1.0	16.0	1_6
172526	172986	460				gesture	001.eaf																								1.0		1.0		En dan rechts heb je een vierkant die ehm steeds groter wordt.	And then on the right you have a square that ehm keeps getting bigger.			B	B		1.0	16.0	1_6
177641	177921	280			gesture	gesture	001.eaf																		1.0						1.0				En helemaal linksachter een soort eh armpje.	And on the far left back a kind of um arm.			B	B		1.0	16.0	1_6
178501	179161	660				gesture	001.eaf																									1.0		16D	En helemaal linksachter een soort eh armpje.	And on the far left back a kind of um arm.			B	B		1.0	16.0	1_6
181216	181396	180		non-gesture			001.eaf														Yes, ik heb hem, *B*	Yes, I got it, *B*																	B	B		1.0	16.0	1_6
189929	190149	220	gesture	gesture			001.eaf		1.0						1.0																								1	A		1.0	11.0	1_7
191193	191333	140	gesture				001.eaf				1.0	1.0		11C							dus hij heeft een soort van neusje en aan de zijkant zit een ja zit een een een een hand, ehm waarmee...	so he kind of has a little nose and on the side there's a yes there's a a a hand, um with what....																	1	A		1.0	11.0	1_7
194176	194536	360	non-gesture				001.eaf														dus hij heeft een soort van neusje en aan de zijkant zit een ja zit een een een een hand, ehm waarmee...	so he kind of has a little nose and on the side there's a yes there's a a a hand, um with what....																	1	A		1.0	11.0	1_7
197354	197794	440	gesture	gesture			001.eaf						1.0						1.0		Ja of een arm en in die arm lijkt het alsof er een het gevouw een papiertje is met twee zijdes omhoog	Yes or an arm and in that arm it looks like a the fold is a piece of paper with two sides up																	1	A		1.0	11.0	1_7
199120	199500	380	non-gesture	non-gesture			001.eaf														Ja of een arm en in die arm lijkt het alsof er een het gevouw een papiertje is met twee zijdes omhoog	Yes or an arm and in that arm it looks like a the fold is a piece of paper with two sides up																	1	A		1.0	11.0	1_7
200041	200687	646	gesture	gesture			001.eaf		1.0			1.0		11C	1.0			1.0		11C	Ja of een arm en in die arm lijkt het alsof er een het gevouw een papiertje is met twee zijdes omhoog	Yes or an arm and in that arm it looks like a the fold is a piece of paper with two sides up																	1	A		1.0	11.0	1_7
201407	201767	360	gesture	gesture			001.eaf					1.0		11C				1.0		11C	Ja of een arm en in die arm lijkt het alsof er een het gevouw een papiertje is met twee zijdes omhoog	Yes or an arm and in that arm it looks like a the fold is a piece of paper with two sides up																	1	A		1.0	11.0	1_7
203215	203555	340	gesture				001.eaf				1.0										en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda	and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda																	1	A		1.0	11.0	1_7
203938	204098	160	gesture	gesture			001.eaf					1.0		11D				1.0		11A	en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda	and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda																	1	A		1.0	11.0	1_7
205128	205228	100		gesture			001.eaf												1.0		en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda	and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda																	1	A		1.0	11.0	1_7
206208	206728	520	gesture	gesture			001.eaf					1.0		11D-REP				1.0		11D-REP	en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda	and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda																	1	A		1.0	11.0	1_7
207529	207969	440	gesture	gesture			001.eaf					1.0		11D-rep				1.0		11D-rep	en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda	and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda																	1	A		1.0	11.0	1_7
208938	209298	360		gesture			001.eaf											1.0		11A	En de andere is een platte uitsteeksel	And the other is a flat protrusion																	1	A		1.0	11.0	1_7
212813	212993	180		gesture			001.eaf										1.0				die ja gewoon de lucht in wijst, eigenlijk	which yes just points into the air, actually																	1	A		1.0	11.0	1_7
216717	217097	380	non-gesture	non-gesture			001.eaf																												Oké, die heb ik nog niet helemaal. #laughs#	Okay, I haven't quite got that one yet #laughs#.			1	A		1.0	11.0	1_7
219962	220142	180	gesture	gesture			001.eaf		1.0		1.0				1.0		1.0				OkÃ©, de n- de de de voorkant is zeg maar een bolvormige,	Okay, the n- the the the front is say a spherical,																	1	A		1.0	11.0	1_7
220953	221193	240	gesture	gesture			001.eaf		1.0			1.0		11B	1.0			1.0		11B	OkÃ©, de n- de de de voorkant is zeg maar een bolvormige,	Okay, the n- the the the front is say a spherical,																	1	A		1.0	11.0	1_7
221844	222544	700	gesture				001.eaf					1.0		11B																									1	A		1.0	11.0	1_7
222244	222544	300		gesture			001.eaf					1.0		11B				1.0		11B																			1	A		1.0	11.0	1_7
222561	222941	380	non-gesture				001.eaf														Eh ja eh de fff- eh de voorkant heeft een bolvormige uitsteeksel.	Eh yes eh the fff- eh the front has a spherical protrusion.																	1	A		1.0	11.0	1_7
224241	224401	160		gesture			001.eaf								1.0		1.0				Eh ja eh de fff- eh de voorkant heeft een bolvormige uitsteeksel.	Eh yes eh the fff- eh the front has a spherical protrusion.																	1	A		1.0	11.0	1_7
224951	225669	718	gesture	gesture			001.eaf		1.0			1.0		11B	1.0			1.0		11B	Eh ja eh de fff- eh de voorkant heeft een bolvormige uitsteeksel.	Eh yes eh the fff- eh the front has a spherical protrusion.																	1	A		1.0	11.0	1_7
227061	227381	320	gesture	gesture			001.eaf						1.0						1.0		En dat dat lijkt een beetje op een neusje.	And that that looks a little bit like a nose.																	1	A		1.0	11.0	1_7
230042	230302	260	gesture				001.eaf				1.0		1.0								En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.	And then on the side is a protrusion and there it looks like, say, a piece of paper folded.																	1	A		1.0	11.0	1_7
230891	231191	300	gesture				001.eaf		1.0		1.0										En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.	And then on the side is a protrusion and there it looks like, say, a piece of paper folded.																	1	A		1.0	11.0	1_7
232295	232575	280	non-gesture				001.eaf														En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.	And then on the side is a protrusion and there it looks like, say, a piece of paper folded.																	1	A		1.0	11.0	1_7
233177	233451	274	gesture	gesture			001.eaf					1.0		11C				1.0		11C	En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.	And then on the side is a protrusion and there it looks like, say, a piece of paper folded.																	1	A		1.0	11.0	1_7
233771	234397	626	gesture	gesture			001.eaf					1.0		11C				1.0		11C	En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.	And then on the side is a protrusion and there it looks like, say, a piece of paper folded.																	1	A		1.0	11.0	1_7
237024	237104	80		gesture			001.eaf										1.0				En, ja, die steekt er aan de linkerkant uit.	And, yes, it sticks out on the left side.																	1	A		1.0	11.0	1_7
239430	239850	420	gesture	gesture			001.eaf		1.0		1.0				1.0		1.0				En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.	And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.																	1	A		1.0	11.0	1_7
244010	244610	600	gesture	gesture			001.eaf					1.0		11D				1.0		11D	En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.	And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.																	1	A		1.0	11.0	1_7
245057	245417	360	gesture	gesture			001.eaf					1.0		11D				1.0		11D	En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.	And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.																	1	A		1.0	11.0	1_7
246132	246572	440	gesture				001.eaf					1.0		11D							En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.	And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.																	1	A		1.0	11.0	1_7
249026	249126	100				gesture	001.eaf																						1.0				1.0		Ja, en dan is er nog één daarnaast. Naast dat ruitje. Dat is een soort langwerpige balk, toch?	Yes, and then there's one next to that - next to that little window. That's kind of an oblong bar, right?			1	A		1.0	11.0	1_7
251028	251588	560				gesture	001.eaf																									1.0		11A	Ja, en dan is er nog één daarnaast. Naast dat ruitje. Dat is een soort langwerpige balk, toch?	Yes, and then there's one next to that - next to that little window. That's kind of an oblong bar, right?			1	A		1.0	11.0	1_7
263161	263521	360				gesture	001.eaf																						1.0						Ehm ik heb hier eentje met een hoop uitsteeksels en boven, een beetje achteraan, is een ruit	Um I have one here with a lot of protrusions and at the top, a little in the back, is a window			C	B		1.0	8.0	1_8
264821	265301	480			gesture	gesture	001.eaf																			1.0		08B-REP				1.0		08B	met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.	with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.			C	B		1.0	8.0	1_8
266379	266759	380			gesture	gesture	001.eaf																			1.0		08B-rep				1.0		08B-REP	met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.	with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.			C	B		1.0	8.0	1_8
268281	268941	660			gesture	gesture	001.eaf																			1.0		08B				1.0		08B	met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.	with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.			C	B		1.0	8.0	1_8
276021	276221	200			gesture		001.eaf																			1.0		08D							En aan de zijkant heb je een arm #voice creaks# die lijkt alsof die een knuffel gaat geven.	And on the side you have an arm #voice creaks# that looks like it's going to give a hug.			C	B		1.0	8.0	1_8
279400	280260	860				gesture	001.eaf																									1.0		08E					C	B		1.0	8.0	1_8
281419	281779	360				non-gesture	001.eaf																												En onderaan heb je ook een soort staart, zeg maar.	And at the bottom you also have a kind of tail, so to speak.			C	B		1.0	8.0	1_8
282201	282501	300				gesture	001.eaf																						1.0						En onderaan heb je ook een soort staart, zeg maar.	And at the bottom you also have a kind of tail, so to speak.			C	B		1.0	8.0	1_8
290081	290601	520	gesture	gesture			001.eaf					1.0		08B				1.0		08B	Dat bovenop is is een ruit met twee vierkanten die...	That on top is a diamond with two squares that...																	C	B		1.0	8.0	1_8
292501	292781	280		gesture			001.eaf												1.0		OkÃ©, ja, ik heb hem.	Okay, yes, I got it.																	C	B		1.0	8.0	1_8
299479	299759	280		gesture			001.eaf											1.0		03C+03D	OkÃ©, ik heb nu eentje en het lijkt alsof die vast zit aan een anker in de zee, zeg maar.	Okay, I have one now and it looks like it's attached to an anchor in the sea, so to speak.																	10	A		1.0	3.0	1_9
301595	301895	300		gesture			001.eaf											1.0		03C+03D	Die daar zit een onderkant aan en daar zit een heel groot zwaar blok onder, lijkt het.	That one there has a bottom on it and there is a very large heavy block underneath, it seems.																	10	A		1.0	3.0	1_9
302243	302443	200		gesture			001.eaf											1.0		03D	Die daar zit een onderkant aan en daar zit een heel groot zwaar blok onder, lijkt het.	That one there has a bottom on it and there is a very large heavy block underneath, it seems.																	10	A		1.0	3.0	1_9
303135	304188	1053	gesture	gesture 			001.eaf					1.0		03D				1.0		03D	Die daar zit een onderkant aan en daar zit een heel groot zwaar blok onder, lijkt het.	That one there has a bottom on it and there is a very large heavy block underneath, it seems.																	10	A		1.0	3.0	1_9
306190	306750	560		non-gesture			001.eaf																																10	A		1.0	3.0	1_9
308961	310221	1260				gesture	001.eaf																									1.0		03C	Ja, en die van dat blok gaat het in een spiraal naar boven.	Yes, and the one from that block it spirals upward.			10	A		1.0	3.0	1_9
311466	311826	360		gesture			001.eaf								1.0				1.0		Ja, yes, dat is hem.	Yes, yes, that's him.																	10	A		1.0	3.0	1_9
319041	319281	240				gesture	001.eaf																									1.0		10A	Ehm deze heeft één lange arm en één korte arm, best wel dik.	Um this one has one long arm and one short arm, pretty thick.			P	B		1.0	10.0	1_10
319438	319958	520			gesture		001.eaf																			1.0		10E							Ehm deze heeft één lange arm en één korte arm, best wel dik.	Um this one has one long arm and one short arm, pretty thick.			P	B		1.0	10.0	1_10
324173	324433	260				gesture	001.eaf																								1.0				En dan daarachter zit nog een soort paddenstoel die is omge #laughs# zakt.	And then behind that is another kind of mushroom that is omge #laughs# sinks.			P	B		1.0	10.0	1_10
325407	325947	540				non-gesture	001.eaf																							movement seems to be torso movement, rather than manual					En dan daarachter zit nog een soort paddenstoel die is omge #laughs# zakt.	And then behind that is another kind of mushroom that is omge #laughs# sinks.			P	B		1.0	10.0	1_10
331322	331542	220	non-gesture	non-gesture			001.eaf																																16	A		1.0	5.0	1_11
333643	334003	360	gesture	gesture			001.eaf		1.0	unsure		1.0		05E	1.0	unsure		1.0		05D	Oh (de) ehm ik vond deze een beetje op een pinguÃ¯n lijken met een hanekam, omdat hij dus recht...	Oh (the) ehm I thought this one looked a bit like a penguin with a cock's comb, because so he's straight....																	16	A		1.0	5.0	1_11
336314	336674	360	non-gesture	non-gesture			001.eaf																																16	A		1.0	5.0	1_11
