turn_id,pair,speaker,trial,from_ts,to_ts,start,end,duration,original_text,text,lemma,pos,eng_text,num_words,num_content_words
14,001,B,1_1,00:00:29.687,00:00:30.261,29.687,30.261,0.5739999999999981,Mhm,Mhm,mhm,['NOUN'],Mhm,1,1
15,001,A,1_1,00:00:30.011,00:00:33.511,30.011,33.511,3.5000000000000036,Ehm hij heeft Ã©Ã©n arm en aan de achterkant heeft hij een cirkel,Ehm hij heeft één arm en aan de achterkant heeft hij een cirkel,ehm hij hebben één arm en aan de achterkant hebben hij een cirkel,"['ADP', 'PRON', 'VERB', 'NUM', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'AUX', 'PRON', 'DET', 'NOUN']",Um he has one arm and at the back he has a circle,13,4
16,001,A,1_1,00:00:34.121,00:00:36.961,34.121,36.961,2.8399999999999963,"Ehm ja, die er tegenaan zit",Ehm ja die er tegenaan zit,ehm ja die er tegenaan zitten,"['ADV', 'INTJ', 'PRON', 'ADV', 'ADP', 'VERB']","Ummm yes, the one that sits against it",6,3
17,001,B,1_1,00:00:37.221,00:00:37.341,37.221,37.341,0.12000000000000455,"Ja,",Ja,ja,['INTJ'],"Yes,",1,0
18,001,B,1_1,00:00:37.783,00:00:39.141,37.783,39.141,1.357999999999997,oké. Ik denk dat ik het weet.,oké Ik denk dat ik het weet,oké ik denken dat ik het weten,"['VERB', 'PRON', 'VERB', 'SCONJ', 'PRON', 'PRON', 'VERB']","Okay, I think I know.",7,3
19,001,A,1_1,00:00:39.651,00:00:40.021,39.651,40.021,0.36999999999999744,Ja?,Ja,ja,['INTJ'],Yes?,1,0
20,001,A,1_1,00:00:40.251,00:00:40.811,40.251,40.811,0.5600000000000023,OkÃ©,Oké,Oké,['ADJ'],Okay,1,1
21,001,B,1_1,00:00:40.311,00:00:40.521,40.311,40.521,0.21000000000000085,"Ja,",Ja,ja,['INTJ'],"Yes,",1,0
22,001,A,1_1,00:00:41.031,00:00:41.491,41.031,41.491,0.46000000000000085,Dan moe...,Dan moe,dan moe,"['ADV', 'ADJ']",Then you must...,2,2
23,001,B,1_1,00:00:41.047,00:00:42.881,41.047,42.881,1.8340000000000032,"dus dan z- zeg ik het nummer, toch?",dus dan  zeg ik het nummer toch,dus dan   zeggen ik het nummer toch,"['ADV', 'ADV', 'SPACE', 'VERB', 'PRON', 'DET', 'NOUN', 'ADV']","so then I z-say the number, right?",7,5
24,001,A,1_1,00:00:43.451,00:00:43.751,43.451,43.751,0.29999999999999716,Ja.,Ja,ja,['INTJ'],Yes.,1,0
25,001,B,1_1,00:00:44.121,00:00:44.961,44.121,44.961,0.8399999999999963,Dus dat is veert- .,Dus dat is,dus dat zijn,"['ADV', 'SCONJ', 'AUX']",So that's forty- .,3,1
26,001,B,1_1,00:00:45.239,00:00:45.761,45.239,45.761,0.5220000000000056,"Eh oh nee,",Eh oh nee,Eh oh nee,"['INTJ', 'INTJ', 'INTJ']","Um oh no,",3,0
27,001,B,1_1,00:00:46.501,00:00:47.121,46.501,47.121,0.6200000000000045,ja *14*.,ja 14,ja 14,"['INTJ', 'NUM']",yes *14*.,2,0
28,001,B,1_1,00:00:47.301,00:00:47.581,47.301,47.581,0.28000000000000114,Jawel.,Jawel,Jawel,['ADV'],Yep.,1,1
29,001,B,1_1,00:00:47.981,00:00:49.555,47.981,49.555,1.573999999999998,En dan druk ik op de rode knop volgens mij.,En dan druk ik op de rode knop volgens mij,en dan druk ik op de rood knop volgens mij,"['CCONJ', 'ADV', 'ADJ', 'PRON', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'PRON']",And then I press the red button in my opinion.,10,4
30,001,A,1_1,00:00:49.391,00:00:53.081,49.391,53.081,3.690000000000005,"Ja, ja, ja, nee, ja, op de groene moet ik drukken, heb jij een rode?",Ja ja ja nee ja op de groene moet ik drukken heb jij een rode,ja ja ja nee ja op de groen moeten ik drukken hebben jij een rood,"['INTJ', 'INTJ', 'INTJ', 'INTJ', 'INTJ', 'ADP', 'DET', 'ADJ', 'AUX', 'PRON', 'VERB', 'VERB', 'PRON', 'DET', 'ADJ']","Yes, yes, yes, no, yes, I have to press the green one, do you have a red one?",15,4
31,001,B,1_1,00:00:52.439,00:00:53.641,52.439,53.641,1.2019999999999982,"Oh, ik heb een rode ja.",Oh ik heb een rode ja,Oh ik hebben een rood ja,"['INTJ', 'PRON', 'VERB', 'DET', 'ADJ', 'INTJ']","Oh, I have a red one yes.",6,2
32,001,A,1_1,00:00:53.761,00:00:54.141,53.761,54.141,0.37999999999999545,OkÃ©.,Oké,Oké,['ADJ'],Okay.,1,1
33,001,B,1_1,00:00:53.871,00:00:55.421,53.871,55.421,1.5499999999999972,"Ja, dan druk ik op de knop.",Ja dan druk ik op de knop,ja dan druk ik op de knop,"['INTJ', 'ADV', 'ADJ', 'PRON', 'ADP', 'DET', 'NOUN']","Yes, then I press the button.",7,3
34,001,A,1_1,00:00:54.851,00:00:55.051,54.851,55.051,0.20000000000000284,Ja.,Ja,ja,['INTJ'],Yes.,1,0
35,001,B,1_1,00:00:55.671,00:00:56.371,55.671,56.371,0.7000000000000028,Top. #laughs#,Top,Top,['NOUN'],Top #laughs#,1,1
36,001,B,1_2,00:00:58.391,00:00:59.481,58.391,59.481,1.0900000000000034,"Oh ja, nu heb ik de volgende.",Oh ja nu heb ik de volgende,Oh ja nu hebben ik de volgen,"['INTJ', 'INTJ', 'ADV', 'AUX', 'PRON', 'DET', 'VERB']","Oh yes, now I have the next one.",7,2
37,001,A,1_2,00:01:00.031,00:01:00.461,60.031,60.461,0.4299999999999997,OkÃ©.,Oké,Oké,['ADJ'],Okay.,1,1
38,001,B,1_2,00:01:00.421,00:01:03.101,60.421,63.101,2.6799999999999997,Ehm het lijkt alsof die een arm heeft.,Ehm het lijkt alsof die een arm heeft,ehm het lijken alsof die een arm hebben,"['ADP', 'DET', 'VERB', 'SCONJ', 'PRON', 'DET', 'NOUN', 'VERB']",Um it looks like that one has an arm.,8,3
39,001,B,1_2,00:01:03.361,00:01:07.161,63.361,67.161,3.8000000000000043,En in die arm zit een een eh langwerpige balk.,En in die arm zit een een eh langwerpige balk,en in die arm zitten een een eh langwerpig balk,"['CCONJ', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'DET', 'INTJ', 'ADJ', 'NOUN']",And in that arm is a one um oblong bar.,10,4
40,001,B,1_2,00:01:07.421,00:01:09.651,67.421,69.651,2.2299999999999898,En aan de voorkant van die balk zit een cirkel.,En aan de voorkant van die balk zit een cirkel,en aan de voorkant van die balk zitten een cirkel,"['CCONJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN']",And at the front of that beam is a circle.,10,4
41,001,B,1_2,00:01:10.039,00:01:12.891,70.039,72.891,2.852000000000004,En bovenop zit nog één klein pluimpje eigenlijk.,En bovenop zit nog één klein pluimpje eigenlijk,en bovenop zitten nog één klein pluimp eigenlijk,"['CCONJ', 'ADP', 'VERB', 'ADV', 'NUM', 'ADJ', 'NOUN', 'ADJ']",And on top is one little plume actually.,8,5
42,001,A,1_2,00:01:17.561,00:01:20.711,77.561,80.711,3.1499999999999915,"Ehm ja, die z-zit hij door die arm heen?",Ehm ja die zit hij door die arm heen,ehm ja die zitten hij door die arm heen,"['ADV', 'INTJ', 'PRON', 'VERB', 'PRON', 'ADP', 'DET', 'NOUN', 'ADP']","Um yeah, that z-she's through that arm?",9,3
43,001,B,1_2,00:01:20.855,00:01:21.581,80.855,81.581,0.7259999999999991,"Ja, precies.",Ja precies,ja precies,"['INTJ', 'ADJ']","Yes, exactly.",2,1
44,001,A,1_2,00:01:22.031,00:01:22.991,82.031,82.991,0.9599999999999937,"OkÃ©, ja.",Oké ja,Oké ja,"['ADJ', 'INTJ']","Okay, yes.",2,1
45,001,A,1_2,00:01:23.711,00:01:24.871,83.711,84.871,1.1599999999999966,Dan denk ik dat ik het weet.,Dan denk ik dat ik het weet,dan denken ik dat ik het weten,"['ADV', 'VERB', 'PRON', 'SCONJ', 'PRON', 'PRON', 'VERB']",Then I think I know.,7,3
46,001,B,1_2,00:01:24.023,00:01:25.641,84.023,85.641,1.6180000000000092,"En dan... Oké, ja.",En dan Oké ja,en dan oké ja,"['CCONJ', 'ADV', 'ADJ', 'INTJ']","And then... Okay, yes.",4,2
47,001,A,1_2,00:01:27.341,00:01:30.491,87.341,90.491,3.1500000000000057,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",Ja en ja de de het armpje is het cirkeltje het bolletje zeg maar,ja en ja de de het armpje zijn het cirkelt het bollet zeggen maar,"['INTJ', 'CCONJ', 'INTJ', 'DET', 'DET', 'DET', 'NOUN', 'AUX', 'PRON', 'VERB', 'DET', 'ADJ', 'VERB', 'CCONJ']","Yes and yes the the the little arm is the little circle, the little ball so to speak.",14,4
48,001,B,1_2,00:01:30.231,00:01:30.981,90.231,90.981,0.75,"Het bolletje, ja.",Het bolletje ja,het bollet ja,"['DET', 'ADJ', 'INTJ']","The sphere, yes.",3,1
49,001,B,1_2,00:01:31.081,00:01:35.181,91.081,95.181,4.099999999999994,"En dan helemaal... Er zit een platte cirkel aan het eind van die lange stok, zeg maar.",En dan helemaal Er zit een platte cirkel aan het eind van die lange stok zeg maar,en dan helemaal er zitten een plat cirkel aan het eind van die lang stok zeggen maar,"['CCONJ', 'ADV', 'ADV', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'CCONJ']","And then all the way ... There's a flat circle at the end of that long stick, so to speak.",17,10
50,001,A,1_2,00:01:31.241,00:01:31.501,91.241,91.501,0.2600000000000051,Ja.,Ja,ja,['INTJ'],Yes.,1,0
51,001,A,1_2,00:01:35.591,00:01:36.891,95.591,96.891,1.3000000000000114,"Ja, ik weet hem, yes.",Ja ik weet hem yes,ja ik weten hem yes,"['INTJ', 'PRON', 'VERB', 'PRON', 'VERB']","Yes, I know him, yes.",5,2
52,001,A,1_2,00:01:37.531,00:01:38.401,97.531,98.401,0.8699999999999903,Eh *D*.,Eh D,eh D,"['PROPN', 'PROPN']",Um *D*.,2,2
53,001,A,1_3,00:01:40.981,00:01:41.461,100.981,101.461,0.480000000000004,OkÃ©.,Oké,Oké,['ADJ'],Okay.,1,1
54,001,A,1_3,00:01:42.011,00:01:42.681,102.011,102.681,0.6700000000000017,Ehm,Ehm,Ehm,['ADP'],Um,1,0
55,001,A,1_3,00:01:43.591,00:01:46.661,103.591,106.661,3.0700000000000074,Eh ik heb nu de vierkant dus ik ga beginnen met sch- beschrijven.,Eh ik heb nu de vierkant dus ik ga beginnen met  beschrijven,eh ik hebben nu de vierkant dus ik gaan beginnen met   beschrijven,"['INTJ', 'PRON', 'VERB', 'ADV', 'DET', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'VERB', 'ADP', 'SPACE', 'VERB']",Um I now have the square so I am going to start sch- describe.,12,6
56,001,B,1_3,00:01:46.881,00:01:47.251,106.881,107.251,0.37000000000000455,Mhm,Mhm,mhm,['NOUN'],Mhm,1,1
57,001,A,1_3,00:01:47.121,00:01:51.371,107.121,111.371,4.25,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit",Eh het lijkt alsof hij drijft omdat er zeg maar een plaat op de helft van dat dingetje zit,Eh het lijken alsof hij drijven omdat er zeggen maar een plaat op de helft van dat dinget zitten,"['INTJ', 'DET', 'VERB', 'SCONJ', 'PRON', 'VERB', 'SCONJ', 'ADV', 'VERB', 'ADV', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB']","Um it looks like it floats, because there is, say, a plate on half of that thingy",19,9
58,001,B,1_3,00:01:51.639,00:01:51.821,111.639,111.821,0.18200000000000216,Ja.,Ja,ja,['INTJ'],Yes.,1,0
59,001,A,1_3,00:01:51.961,00:01:54.641,111.961,114.641,2.680000000000007,en het lijkt alsof er naar die plaat een soort van glijbaan gaat,en het lijkt alsof er naar die plaat een soort van glijbaan gaat,en het lijken alsof er naar die plaat een soort van glijbaan gaan,"['CCONJ', 'DET', 'VERB', 'SCONJ', 'ADV', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB']",and it looks like there's some kind of slide going to that plate,13,6
60,001,A,1_3,00:01:54.671,00:01:57.031,114.671,117.031,2.3599999999999994,en dat hij tegelijk een een pijp aan het roken is,en dat hij tegelijk een een pijp aan het roken is,en dat hij tegelijk een een pijp aan het roken zijn,"['CCONJ', 'SCONJ', 'PRON', 'ADV', 'DET', 'DET', 'NOUN', 'ADP', 'DET', 'VERB', 'AUX']",and that at the same time he is smoking a pipe,11,3
61,001,B,1_3,00:01:55.127,00:01:55.301,115.127,115.301,0.1740000000000066,Ja.,Ja,ja,['INTJ'],Yes.,1,0
62,001,B,1_3,00:01:57.527,00:01:58.501,117.527,118.501,0.9740000000000038,"#laughs# oh, oké, ja.",oh oké ja,oh oké ja,"['INTJ', 'ADJ', 'INTJ']","#laughs# oh, okay, yes.",3,1
63,001,A,1_3,00:01:59.191,00:02:02.001,119.191,122.001,2.8100000000000023,met m-met twee uitlaatdingetjes erbovenop.,met met twee uitlaatdingetjes erbovenop,met met twee uitlaatdinge erbovenop,"['ADP', 'ADP', 'NUM', 'NOUN', 'ADP']",With m-with two exhaust things on top.,5,1
64,001,B,1_3,00:01:59.287,00:01:59.841,119.287,119.841,0.5539999999999878,Ik weet hem.,Ik weet hem,ik weten hem,"['PRON', 'VERB', 'PRON']",I know him.,3,1
65,001,B,1_3,00:02:01.621,00:02:02.081,121.621,122.081,0.46000000000000796,"Ja, ja.",Ja ja,ja ja,"['INTJ', 'INTJ']","Yes, yes.",2,0
66,001,A,1_3,00:02:02.411,00:02:02.791,122.411,122.791,0.37999999999999545,OkÃ©,Oké,Oké,['ADJ'],Okay,1,1
67,001,B,1_3,00:02:02.583,00:02:02.881,122.583,122.881,0.2980000000000018,"Oké,",Oké,Oké,['ADJ'],"Okay,",1,1
68,001,B,1_3,00:02:03.351,00:02:03.941,123.351,123.941,0.5900000000000034,dat is *8*.,dat is 8,dat zijn 8,"['SCONJ', 'PRON', 'NUM']",that's *8*.,3,0
69,001,B,1_4,00:02:06.231,00:02:07.241,126.231,127.241,1.0100000000000051,"Oké, dan heb ik er één.",Oké dan heb ik er één,Oké dan hebben ik er één,"['ADJ', 'ADV', 'VERB', 'PRON', 'ADV', 'NUM']","Okay, then I have one.",6,4
70,001,B,1_4,00:02:07.991,00:02:09.501,127.991,129.501,1.5100000000000051,Ehm deze lijkt twee armen te hebben.,Ehm deze lijkt twee armen te hebben,ehm deze lijken twee arm te hebben,"['ADP', 'DET', 'VERB', 'NUM', 'ADJ', 'ADP', 'AUX']",Um this one seems to have two arms.,7,2
71,001,B,1_4,00:02:09.681,00:02:12.161,129.681,132.161,2.4799999999999898,Een soort cilinders met een klein hoekje aan de linkerkant.,Een soort cilinders met een klein hoekje aan de linkerkant,een soort cilinder met een klein hoekje aan de linkerkant,"['DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN']",Sort of cylinders with a small corner on the left side.,10,5
72,001,B,1_4,00:02:12.759,00:02:16.741,132.759,136.741,3.9820000000000277,En één lange ehm rechtopstaande balk voorop.,En één lange ehm rechtopstaande balk voorop,en één lang ehm rechtopstaan balk voorop,"['CCONJ', 'NUM', 'ADJ', 'ADP', 'PROPN', 'NOUN', 'ADV']",And one long um upright beam in front.,7,4
73,001,B,1_4,00:02:17.175,00:02:19.821,137.175,139.821,2.6459999999999866,En dan zit er achter nog een bolletje bovenop.,En dan zit er achter nog een bolletje bovenop,en dan zitten er achter nog een bolle bovenop,"['CCONJ', 'ADV', 'VERB', 'PRON', 'ADP', 'ADV', 'DET', 'ADJ', 'ADP']",And then there's another ball on top behind it.,9,4
74,001,A,1_4,00:02:20.931,00:02:23.921,140.931,143.921,2.9899999999999807,"Ja, ja, ja en die cilinders hebben zo een soort van kronkeltje lijkt het",Ja ja ja en die cilinders hebben zo een soort van kronkeltje lijkt het,ja ja ja en die cilinder hebben zo een soort van kronkeltje lijken het,"['INTJ', 'INTJ', 'INTJ', 'CCONJ', 'DET', 'NOUN', 'VERB', 'ADV', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'PRON']","Yes, yes, yes and those cylinders have this kind of twist it seems",14,6
75,001,B,1_4,00:02:23.607,00:02:24.521,143.607,144.521,0.9139999999999873,"Ja, precies.",Ja precies,ja precies,"['INTJ', 'ADJ']","Yes, exactly.",2,1
76,001,A,1_4,00:02:24.461,00:02:25.881,144.461,145.881,1.4199999999999875,"Ja, okÃ©, yes, *I*.",Ja oké yes I,ja oké yes I,"['INTJ', 'ADJ', 'SYM', 'SYM']","Yes, okay, yes, *I*.",4,1
77,001,A,1_5,00:02:28.941,00:02:34.611,148.941,154.611,5.6699999999999875,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",Oké deze die heeft een heel groot vlak aan de onderkant met  twee armen met allemaal bolletjes,oké deze die hebben een heel groot vlak aan de onderkant met   twee arm met allemaal bollet,"['ADJ', 'PRON', 'PRON', 'AUX', 'DET', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'SPACE', 'NUM', 'NOUN', 'ADP', 'ADV', 'ADJ']","Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",17,8
78,001,B,1_5,00:02:34.583,00:02:34.761,154.583,154.761,0.17799999999999727,"Ja,",Ja,ja,['INTJ'],"Yes,",1,0
79,001,B,1_5,00:02:35.095,00:02:35.521,155.095,155.521,0.4259999999999877,oké.,oké,oké,['ADJ'],okay.,1,1
80,001,B,1_5,00:02:35.799,00:02:36.321,155.799,156.321,0.5219999999999914,Dat is *2*.,Dat is 2,dat zijn 2,"['SCONJ', 'PRON', 'NUM']",That's *2*.,3,0
81,001,B,1_6,00:02:38.679,00:02:41.501,158.679,161.501,2.8220000000000027,Ehm deze heeft drie verschillende uitsteeksels.,Ehm deze heeft drie verschillende uitsteeksels,ehm deze hebben drie verschillend uitsteeksel,"['ADP', 'PRON', 'VERB', 'NUM', 'ADJ', 'NOUN']",Um this one has three different protrusions.,6,3
82,001,B,1_6,00:02:42.141,00:02:43.011,162.141,163.011,0.8700000000000045,En eentje bovenop.,En eentje bovenop,en één bovenop,"['CCONJ', 'NUM', 'ADP']",And one on top.,3,0
83,001,B,1_6,00:02:43.111,00:02:47.941,163.111,167.941,4.8300000000000125,"Bovenop is een soort ovaal, zeg maar, soort bovenkant van een soeplepel.",Bovenop is een soort ovaal zeg maar soort bovenkant van een soeplepel,bovenop zijn een soort ovaal zeggen maar soort bovenkant van een soeplepel,"['ADP', 'PRON', 'DET', 'NOUN', 'ADJ', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN']","On top is a kind of oval, say, kind of top of a soup ladle.",12,6
84,001,B,1_6,00:02:48.599,00:02:51.281,168.599,171.281,2.6820000000000164,Dat heb je ook aan de linkerzijkant.,Dat heb je ook aan de linkerzijkant,dat hebben je ook aan de linkerzijkant,"['PRON', 'VERB', 'PRON', 'ADV', 'ADP', 'DET', 'NOUN']",You also have that on the left side.,7,3
85,001,A,1_6,00:02:50.771,00:02:50.971,170.771,170.971,0.20000000000001705,Ja,Ja,ja,['INTJ'],Yes,1,0
86,001,B,1_6,00:02:52.343,00:02:56.741,172.343,176.741,4.398000000000025,En dan rechts heb je een vierkant die ehm steeds groter wordt.,En dan rechts heb je een vierkant die ehm steeds groter wordt,en dan rechts hebben je een vierkant die ehm steeds groot worden,"['CCONJ', 'ADV', 'ADJ', 'VERB', 'PRON', 'DET', 'ADJ', 'PRON', 'ADV', 'ADV', 'ADJ', 'AUX']",And then on the right you have a square that ehm keeps getting bigger.,12,7
87,001,B,1_6,00:02:57.081,00:02:59.501,177.081,179.501,2.420000000000016,En helemaal linksachter een soort eh armpje.,En helemaal linksachter een soort eh armpje,en helemaal linksachter een soort eh armp,"['CCONJ', 'ADV', 'NOUN', 'DET', 'NOUN', 'INTJ', 'VERB']",And on the far left back a kind of um arm.,7,4
88,001,A,1_6,00:02:57.181,00:02:57.381,177.181,177.381,0.19999999999998863,Ja,Ja,ja,['INTJ'],Yes,1,0
89,001,A,1_6,00:03:00.521,00:03:02.041,180.521,182.041,1.5200000000000102,"Yes, ik heb hem, *B*",Yes ik heb hem B,Yes ik hebben hem B,"['SYM', 'PRON', 'AUX', 'PRON', 'PROPN']","Yes, I got it, *B*",5,1
90,001,B,1_6,00:03:01.541,00:03:01.861,181.541,181.861,0.3199999999999932,Oké.,Oké,Oké,['ADJ'],Okay.,1,1
91,001,A,1_6,00:03:04.221,00:03:04.751,184.221,184.751,0.5300000000000011,Eh B,Eh B,eh B,"['INTJ', 'PROPN']",Eh B,2,1
92,001,A,1_7,00:03:05.521,00:03:05.621,185.521,185.621,0.10000000000002274,Ja,Ja,ja,['INTJ'],Yes,1,0
93,001,A,1_7,00:03:05.971,00:03:06.421,185.971,186.421,0.44999999999998863,OkÃ©,Oké,Oké,['ADJ'],Okay,1,1
94,001,A,1_7,00:03:06.831,00:03:09.101,186.831,189.101,2.2700000000000102,Ehm deze lijkt een beetje op Ernie,Ehm deze lijkt een beetje op Ernie,ehm deze lijken een beetje op Ernie,"['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'PROPN']",Um this one looks a little like Ernie,7,3
95,001,A,1_7,00:03:10.071,00:03:16.721,190.071,196.721,6.650000000000006,"dus hij heeft een soort van neusje en aan de zijkant zit een ja zit een een een een hand, ehm waarmee...",dus hij heeft een soort van neusje en aan de zijkant zit een ja zit een een een een hand ehm waarmee,dus hij hebben een soort van neusje en aan de zijkant zitten een ja zitten een een een een hand ehm waarmee,"['ADV', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'INTJ', 'VERB', 'DET', 'DET', 'DET', 'DET', 'NOUN', 'ADV', 'ADV']","so he kind of has a little nose and on the side there's a yes there's a a a hand, um with what....",22,9
96,001,A,1_7,00:03:16.991,00:03:22.511,196.991,202.511,5.519999999999982,Ja of een arm en in die arm lijkt het alsof er een het gevouw een papiertje is met twee zijdes omhoog,Ja of een arm en in die arm lijkt het alsof er een het gevouw een papiertje is met twee zijdes omhoog,ja of een arm en in die arm lijken het alsof er een het gevouw een papier zijn met twee zijde omhoog,"['INTJ', 'CCONJ', 'DET', 'NOUN', 'CCONJ', 'ADP', 'DET', 'ADJ', 'VERB', 'PRON', 'SCONJ', 'ADV', 'DET', 'DET', 'VERB', 'DET', 'NOUN', 'AUX', 'ADP', 'NUM', 'NOUN', 'ADV']",Yes or an arm and in that arm it looks like a the fold is a piece of paper with two sides up,22,8
