Begin Time - msec,End Time - msec,Duration - msec,A_LH_gesture,A_RH_gesture,B_LH_gesture,B_RH_gesture,File,File Path,A_LH_gesture_beat,A_LH_gesture_comments,A_LH_gesture_deixis,A_LH_gesture_iconicity,A_LH_gesture_pragmaticality,A_LH_gesture_referent,A_RH_gesture_beat,A_RH_gesture_comments,A_RH_gesture_deixis,A_RH_gesture_iconicity,A_RH_gesture_pragmaticality,A_RH_gesture_referent,A_speech,A_speech_eng,B_LH_gesture_beat,B_LH_gesture_comments,B_LH_gesture_deixis,B_LH_gesture_iconicity,B_LH_gesture_pragmaticality,B_LH_gesture_referent,B_RH_gesture_beat,B_RH_gesture_comments,B_RH_gesture_deixis,B_RH_gesture_iconicity,B_RH_gesture_pragmaticality,B_RH_gesture_referent,B_speech,B_speech_eng,accuracy,comments,correct_answer,director,given_answer,round,target,trial,pair,gesturer,iconic_a,iconic_b,iconic
35942,36182,240,gesture,,,,001.eaf,,,,,1.0,,09D,,,,,,,"Ehm ja, die er tegenaan zit","Ummm yes, the one that sits against it",,,,,,,,,,,,,,,,,14,A,,1.0,9.0,1_1,001,A,True,False,True
62023,62423,400,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,06B,Ehm het lijkt alsof die een arm heeft.,Um it looks like that one has an arm.,,,D,B,,1.0,6.0,1_2,001,B,False,True,True
63661,63991,330,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,06D-REP,En in die arm zit een een eh langwerpige balk.,And in that arm is a one um oblong bar.,,,D,B,,1.0,6.0,1_2,001,B,False,True,True
65201,65770,569,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,06D-rep,En in die arm zit een een eh langwerpige balk.,And in that arm is a one um oblong bar.,,,D,B,,1.0,6.0,1_2,001,B,False,True,True
67671,68071,400,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,06C,En aan de voorkant van die balk zit een cirkel.,And at the front of that beam is a circle.,,,D,B,,1.0,6.0,1_2,001,B,False,True,True
71141,71961,820,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,06A,En bovenop zit nog één klein pluimpje eigenlijk.,And on top is one little plume actually.,,,D,B,,1.0,6.0,1_2,001,B,False,True,True
79567,80047,480,gesture,gesture,,,001.eaf,,,,,1.0,,06D,,,,1.0,,06D,"Ehm ja, die z-zit hij door die arm heen?","Um yeah, that z-she's through that arm?",,,,,,,,,,,,,,,,,D,B,,1.0,6.0,1_2,001,A,True,False,True
88685,89085,400,gesture,gesture,,,001.eaf,,,,,1.0,,06B-REP,,,,1.0,,06B-REP,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.","Yes and yes the the the little arm is the little circle, the little ball so to speak.",,,,,,,,,,,,,,,,,D,B,,1.0,6.0,1_2,001,A,True,False,True
89617,90110,493,gesture,gesture,,,001.eaf,,,,,1.0,,06B-rep,,,,1.0,,06B-rep,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.","Yes and yes the the the little arm is the little circle, the little ball so to speak.",,,,,,,,,,,,,,,,,D,B,,1.0,6.0,1_2,001,A,True,False,True
107604,108144,540,gesture,gesture,,,001.eaf,,,The gesture seems to depict floating,,1.0,,other,,,,1.0,,other,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit","Um it looks like it floats, because there is, say, a plate on half of that thingy",,,,,,,,,,,,,,,,,8,A,,1.0,15.0,1_3,001,A,True,False,True
109461,110021,560,gesture,gesture,,,001.eaf,,,,,1.0,,15C-REP,,,,1.0,,15C-REP,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit","Um it looks like it floats, because there is, say, a plate on half of that thingy",,,,,,,,,,,,,,,,,8,A,,1.0,15.0,1_3,001,A,True,False,True
110628,111168,540,gesture,gesture,,,001.eaf,,,,,1.0,,15C-rep,,,,1.0,,15C-rep,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit","Um it looks like it floats, because there is, say, a plate on half of that thingy",,,,,,,,,,,,,,,,,8,A,,1.0,15.0,1_3,001,A,True,False,True
113461,114067,606,gesture,,,,001.eaf,,,,,1.0,,15B,,,,,,,en het lijkt alsof er naar die plaat een soort van glijbaan gaat,and it looks like there's some kind of slide going to that plate,,,,,,,,,,,,,,,,,8,A,,1.0,15.0,1_3,001,A,True,False,True
115447,116147,700,gesture,,,,001.eaf,,,,,1.0,,15D,,,,,,,en dat hij tegelijk een een pijp aan het roken is,and that at the same time he is smoking a pipe,,,,,,,,,,,,,,,,,8,A,,1.0,15.0,1_3,001,A,True,False,True
120175,120615,440,gesture,gesture,,,001.eaf,,,,1.0,1.0,,15A,,,1.0,1.0,,15A,met m-met twee uitlaatdingetjes erbovenop.,With m-with two exhaust things on top.,,,,,,,,,,,,,,,,,8,A,,1.0,15.0,1_3,001,A,True,False,True
129795,130415,620,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,14B+14D,Een soort cilinders met een klein hoekje aan de linkerkant.,Sort of cylinders with a small corner on the left side.,,,I,B,,1.0,14.0,1_4,001,B,False,True,True
131201,131541,340,,,gesture,,001.eaf,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,14D,,,,,,,Een soort cilinders met een klein hoekje aan de linkerkant.,Sort of cylinders with a small corner on the left side.,,,I,B,,1.0,14.0,1_4,001,B,False,True,True
133136,134256,1120,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,14C-REP,En één lange ehm rechtopstaande balk voorop.,And one long um upright beam in front.,,,I,B,,1.0,14.0,1_4,001,B,False,True,True
136190,136510,320,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,14C-rep,En één lange ehm rechtopstaande balk voorop.,And one long um upright beam in front.,,,I,B,,1.0,14.0,1_4,001,B,False,True,True
142326,143486,1160,gesture,gesture,,,001.eaf,,,Unsure which hand refers to which subpart exactly,,1.0,,14B,,,,1.0,,14D,"Ja, ja, ja en die cilinders hebben zo een soort van kronkeltje lijkt het","Yes, yes, yes and those cylinders have this kind of twist it seems",,,,,,,,,,,,,,,,,I,B,,1.0,14.0,1_4,001,A,True,False,True
151001,151621,620,gesture,gesture,,,001.eaf,,,,,1.0,,13D,,,,1.0,,13D,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes","Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,,,,,,,,,,,,,,,,2,A,,1.0,13.0,1_5,001,A,True,False,True
152833,153153,320,gesture,gesture,,,001.eaf,,,,,1.0,,13A,,,,1.0,,13A,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes","Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,,,,,,,,,,,,,,,,2,A,,1.0,13.0,1_5,001,A,True,False,True
153668,154228,560,gesture,gesture,,,001.eaf,,,,,1.0,,13A,,,,1.0,,13A,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes","Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,,,,,,,,,,,,,,,,2,A,,1.0,13.0,1_5,001,A,True,False,True
165805,166685,880,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,1.0,"Metaphorical representation, holding the handle of a ladle",,1.0,,16A,"Bovenop is een soort ovaal, zeg maar, soort bovenkant van een soeplepel.","On top is a kind of oval, say, kind of top of a soup ladle.",,,B,B,,1.0,16.0,1_6,001,B,False,True,True
178501,179161,660,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,16D,En helemaal linksachter een soort eh armpje.,And on the far left back a kind of um arm.,,,B,B,,1.0,16.0,1_6,001,B,False,True,True
191193,191333,140,gesture,,,,001.eaf,,,,1.0,1.0,,11C,,,,,,,"dus hij heeft een soort van neusje en aan de zijkant zit een ja zit een een een een hand, ehm waarmee...","so he kind of has a little nose and on the side there's a yes there's a a a hand, um with what....",,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
200041,200687,646,gesture,gesture,,,001.eaf,,1.0,,,1.0,,11C,1.0,,,1.0,,11C,Ja of een arm en in die arm lijkt het alsof er een het gevouw een papiertje is met twee zijdes omhoog,Yes or an arm and in that arm it looks like a the fold is a piece of paper with two sides up,,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
201407,201767,360,gesture,gesture,,,001.eaf,,,,,1.0,,11C,,,,1.0,,11C,Ja of een arm en in die arm lijkt het alsof er een het gevouw een papiertje is met twee zijdes omhoog,Yes or an arm and in that arm it looks like a the fold is a piece of paper with two sides up,,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
203938,204098,160,gesture,gesture,,,001.eaf,,,,,1.0,,11D,,,,1.0,,11A,en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda,"and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda",,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
206208,206728,520,gesture,gesture,,,001.eaf,,,,,1.0,,11D-REP,,,,1.0,,11D-REP,en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda,"and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda",,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
207529,207969,440,gesture,gesture,,,001.eaf,,,,,1.0,,11D-rep,,,,1.0,,11D-rep,en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda,"and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda",,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
208938,209298,360,,gesture,,,001.eaf,,,,,,,,,,,1.0,,11A,En de andere is een platte uitsteeksel,And the other is a flat protrusion,,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
220953,221193,240,gesture,gesture,,,001.eaf,,1.0,,,1.0,,11B,1.0,,,1.0,,11B,"OkÃ©, de n- de de de voorkant is zeg maar een bolvormige,","Okay, the n- the the the front is say a spherical,",,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
221844,222544,700,gesture,,,,001.eaf,,,,,1.0,,11B,,,,,,,,,,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
222244,222544,300,,gesture,,,001.eaf,,,,,1.0,,11B,,,,1.0,,11B,,,,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
224951,225669,718,gesture,gesture,,,001.eaf,,1.0,,,1.0,,11B,1.0,,,1.0,,11B,Eh ja eh de fff- eh de voorkant heeft een bolvormige uitsteeksel.,Eh yes eh the fff- eh the front has a spherical protrusion.,,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
233177,233451,274,gesture,gesture,,,001.eaf,,,,,1.0,,11C,,,,1.0,,11C,En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.,"And then on the side is a protrusion and there it looks like, say, a piece of paper folded.",,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
233771,234397,626,gesture,gesture,,,001.eaf,,,,,1.0,,11C,,,,1.0,,11C,En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.,"And then on the side is a protrusion and there it looks like, say, a piece of paper folded.",,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
244010,244610,600,gesture,gesture,,,001.eaf,,,,,1.0,,11D,,,,1.0,,11D,En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.,And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.,,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
245057,245417,360,gesture,gesture,,,001.eaf,,,,,1.0,,11D,,,,1.0,,11D,En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.,And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.,,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
246132,246572,440,gesture,,,,001.eaf,,,,,1.0,,11D,,,,,,,En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.,And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.,,,,,,,,,,,,,,,,,1,A,,1.0,11.0,1_7,001,A,True,False,True
251028,251588,560,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,11A,"Ja, en dan is er nog één daarnaast. Naast dat ruitje. Dat is een soort langwerpige balk, toch?","Yes, and then there's one next to that - next to that little window. That's kind of an oblong bar, right?",,,1,A,,1.0,11.0,1_7,001,B,False,True,True
264821,265301,480,,,gesture,gesture,001.eaf,,,,,,,,,,,,,,,,,,,1.0,,08B-REP,,,,1.0,,08B,met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.,with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.,,,C,B,,1.0,8.0,1_8,001,B,False,True,True
266379,266759,380,,,gesture,gesture,001.eaf,,,,,,,,,,,,,,,,,,,1.0,,08B-rep,,,,1.0,,08B-REP,met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.,with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.,,,C,B,,1.0,8.0,1_8,001,B,False,True,True
268281,268941,660,,,gesture,gesture,001.eaf,,,,,,,,,,,,,,,,,,,1.0,,08B,,,,1.0,,08B,met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.,with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.,,,C,B,,1.0,8.0,1_8,001,B,False,True,True
276021,276221,200,,,gesture,,001.eaf,,,,,,,,,,,,,,,,,,,1.0,,08D,,,,,,,En aan de zijkant heb je een arm #voice creaks# die lijkt alsof die een knuffel gaat geven.,And on the side you have an arm #voice creaks# that looks like it's going to give a hug.,,,C,B,,1.0,8.0,1_8,001,B,False,True,True
279400,280260,860,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,08E,,,,,C,B,,1.0,8.0,1_8,001,B,False,True,True
290081,290601,520,gesture,gesture,,,001.eaf,,,,,1.0,,08B,,,,1.0,,08B,Dat bovenop is is een ruit met twee vierkanten die...,That on top is a diamond with two squares that...,,,,,,,,,,,,,,,,,C,B,,1.0,8.0,1_8,001,A,True,False,True
299479,299759,280,,gesture,,,001.eaf,,,,,,,,,,,1.0,,03C+03D,"OkÃ©, ik heb nu eentje en het lijkt alsof die vast zit aan een anker in de zee, zeg maar.","Okay, I have one now and it looks like it's attached to an anchor in the sea, so to speak.",,,,,,,,,,,,,,,,,10,A,,1.0,3.0,1_9,001,A,True,False,True
301595,301895,300,,gesture,,,001.eaf,,,,,,,,,,,1.0,,03C+03D,"Die daar zit een onderkant aan en daar zit een heel groot zwaar blok onder, lijkt het.","That one there has a bottom on it and there is a very large heavy block underneath, it seems.",,,,,,,,,,,,,,,,,10,A,,1.0,3.0,1_9,001,A,True,False,True
302243,302443,200,,gesture,,,001.eaf,,,,,,,,,,,1.0,,03D,"Die daar zit een onderkant aan en daar zit een heel groot zwaar blok onder, lijkt het.","That one there has a bottom on it and there is a very large heavy block underneath, it seems.",,,,,,,,,,,,,,,,,10,A,,1.0,3.0,1_9,001,A,True,False,True
303135,304188,1053,gesture,gesture ,,,001.eaf,,,,,1.0,,03D,,,,1.0,,03D,"Die daar zit een onderkant aan en daar zit een heel groot zwaar blok onder, lijkt het.","That one there has a bottom on it and there is a very large heavy block underneath, it seems.",,,,,,,,,,,,,,,,,10,A,,1.0,3.0,1_9,001,A,True,False,True
308961,310221,1260,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,03C,"Ja, en die van dat blok gaat het in een spiraal naar boven.","Yes, and the one from that block it spirals upward.",,,10,A,,1.0,3.0,1_9,001,B,False,True,True
319041,319281,240,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,10A,"Ehm deze heeft één lange arm en één korte arm, best wel dik.","Um this one has one long arm and one short arm, pretty thick.",,,P,B,,1.0,10.0,1_10,001,B,False,True,True
319438,319958,520,,,gesture,,001.eaf,,,,,,,,,,,,,,,,,,,1.0,,10E,,,,,,,"Ehm deze heeft één lange arm en één korte arm, best wel dik.","Um this one has one long arm and one short arm, pretty thick.",,,P,B,,1.0,10.0,1_10,001,B,False,True,True
333643,334003,360,gesture,gesture,,,001.eaf,,1.0,unsure,,1.0,,05E,1.0,unsure,,1.0,,05D,"Oh (de) ehm ik vond deze een beetje op een pinguÃ¯n lijken met een hanekam, omdat hij dus recht...","Oh (the) ehm I thought this one looked a bit like a penguin with a cock's comb, because so he's straight....",,,,,,,,,,,,,,,,,16,A,,1.0,5.0,1_11,001,A,True,False,True
337323,337643,320,gesture,gesture,,,001.eaf,,1.0,,,1.0,,05E,1.0,,,1.0,,05D,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,,,,,,,,,,,,Oh ja. #laughs#,Oh yes #laughs#,,,16,A,,1.0,5.0,1_11,001,A,True,False,True
339345,339665,320,gesture,,,,001.eaf,,,,,1.0,,05A,,,,,,,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,,,,,,,,,,,,,,,,16,A,,1.0,5.0,1_11,001,A,True,False,True
341820,342501,681,gesture,gesture,,,001.eaf,,,,,1.0,,05A,,,,1.0,,05A,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,,,,,,,,,,,,,,,,16,A,,1.0,5.0,1_11,001,A,True,False,True
343321,344281,960,gesture,gesture,,,001.eaf,,,,1.0,1.0,,05A,,,1.0,1.0,,05A,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,,,,,,,,,,,,,,,,16,A,,1.0,5.0,1_11,001,A,True,False,True
368897,369517,620,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,05A,heeft die een een een rechthoekige balk bovenop liggen?,Does that one have a one rectangular beam on top?,,,16,A,,1.0,5.0,1_11,001,B,False,True,True
376323,377043,720,,,,gesture,001.eaf,,,,,,,,,,,,,,#laughs#,#laughs#,,,,,,,,,,1.0,,05B,"En dan een een (eh) cilinder naar boven,","And then a one (er) cylinder to the top,",,,16,A,,1.0,5.0,1_11,001,B,False,True,True
379595,380075,480,gesture,gesture,,,001.eaf,,,,,1.0,,05C,,,,1.0,,05C,Ja en weer dat o(p)gevouwen papiertje.,Yes and again that o(p)folded paper.,,,,,,,,,,,,,,,,,16,A,,1.0,5.0,1_11,001,A,True,False,True
391959,392379,420,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,04B-REP,"Die heeft ehm twee soort, ja, eh balken","Which has um two kind of, yes, um beams",,,A,B,,1.0,4.0,1_12,001,B,False,True,True
392975,393675,700,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,04B-rep,"Die heeft ehm twee soort, ja, eh balken","Which has um two kind of, yes, um beams",,,A,B,,1.0,4.0,1_12,001,B,False,True,True
394656,395356,700,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,04B,aan de rechterkant erin.,on the right side in it.,,,A,B,,1.0,4.0,1_12,001,B,False,True,True
397744,398481,737,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,04A,En dan boven een soort vinnetje.,And then above some kind of fin.,,,A,B,,1.0,4.0,1_12,001,B,False,True,True
405366,406711,1345,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,04D,Ehm en nog een armpje wat ook op een vinnetje leek.,Um and another little arm that also looked like a fin.,,,A,B,,1.0,4.0,1_12,001,B,False,True,True
411515,411795,280,,gesture,,,001.eaf,,,,,,,,,,,1.0,,04B,"en die, die, zeg maar, zijn twee rechte platte balken die er aan...","and those, those, say, are two straight flat beams attached to...",,,,,,,,,,,,,,,,,A,B,,1.0,4.0,1_12,001,A,True,False,True
420881,422556,1675,gesture,gesture,,,001.eaf,,1.0,,,1.0,,07B,1.0,,,1.0,,07B,Ehm omdat hij dus op de helft van de dingen zit een zit een soort van plank.,Ehm because he's so on half of the things a sits kind of plank.,,,,,,,,,,,,,,,,,7,A,,1.0,7.0,1_13,001,A,True,False,True
426761,427641,880,gesture,gesture,,,001.eaf,,,,,1.0,,07C,,,,1.0,,07C,Em en aan de onderkant steken er twee rechthoekige balken uit die een beetje schuin gaat.,Em and at the bottom there are two rectangular beams sticking out that goes at a slight angle.,,,,,,,,,,,,,,,,,7,A,,1.0,7.0,1_13,001,A,True,False,True
437443,438051,608,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,07A,Ja en voorop nog een soort (m) bakje.,Yes and in front another kind (m) tray.,,,7,A,,1.0,7.0,1_13,001,B,False,True,True
449178,449578,400,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,02A,"Deze heeft een eh ja ijshoorntje op de kop, op de bovenkant.","This one has an um yes ice cream cone on the head, on the top.",,,J,B,,1.0,2.0,1_14,001,B,False,True,True
460729,461689,960,,,,gesture,001.eaf,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,02D,En je hebt dan nog aan de rechterkant een soort uitsteeksel die met een pinnetje erin lijkt te zitten.,And then you have another kind of protrusion on the right side that seems to have a pin in it.,,,J,B,,1.0,2.0,1_14,001,B,False,True,True
487690,489641,1951,,gesture,,,001.eaf,,,,,,,,,,,1.0,,01A,als in er zit een een cilinder bovenop met een twee cirkeltjes.,as in there is a one a cylinder on top with a two circles.,,,,,,,,,,,,,,,,,6,A,,1.0,1.0,1_15,001,A,True,False,True
492443,493383,940,gesture,gesture,,,001.eaf,,,,,1.0,,01B,,,,1.0,,01B,Eh en aan de voorkant zit een grote vierkant vlak.,Um and on the front is a big square plane.,,,,,,,,,,,,,,,,,6,A,,1.0,1.0,1_15,001,A,True,False,True
495150,495890,740,gesture,,,,001.eaf,,,,1.0,1.0,,01C,,,,,,,"of eh ja, aan de linkerkant, dus, zitten dus, zeg maar, weer die vierkanten die steeds groter worden.","or um yes, on the left side, so, so there are, say, again these squares that get bigger and bigger.",,,,,,,,,,,,,,,,,6,A,,1.0,1.0,1_15,001,A,True,False,True
