pair,round,trial,director,target,accuracy,A_speech,B_speech,A_speech_eng,B_speech_eng,A_LH_gesture_referent,A_RH_gesture_referent,B_LH_gesture_referent,B_RH_gesture_referent,A_gesture_referent,A_gesture_referent2,B_gesture_referent,B_gesture_referent2,begin_time,end_time,duration,iconic
001,1.0,1_2,B,6.0,,,En bovenop zit nog één klein pluimpje eigenlijk.,,And on top is one little plume actually.,,,,06A,,,06A,,71141,71961,820,True
001,1.0,1_2,B,6.0,,"Ehm ja, die z-zit hij door die arm heen?",,"Um yeah, that z-she's through that arm?",,06D,06D,,,06D,,,,79567,80047,480,True
001,1.0,1_2,B,6.0,,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,06B,,,,88685,89085,400,True
001,1.0,1_3,A,15.0,,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit",,"Um it looks like it floats, because there is, say, a plate on half of that thingy",,other,other,,,15_other,,,,107604,108144,540,True
001,1.0,1_3,A,15.0,,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit",,"Um it looks like it floats, because there is, say, a plate on half of that thingy",,15C-REP,15C-REP,,,15C,,,,109461,110021,560,True
001,1.0,1_3,A,15.0,,en het lijkt alsof er naar die plaat een soort van glijbaan gaat,,and it looks like there's some kind of slide going to that plate,,15B,,,,15B,,,,113461,114067,606,True
001,1.0,1_3,A,15.0,,en dat hij tegelijk een een pijp aan het roken is,,and that at the same time he is smoking a pipe,,15D,,,,15D,,,,115447,116147,700,True
001,1.0,1_3,A,15.0,,met m-met twee uitlaatdingetjes erbovenop.,,With m-with two exhaust things on top.,,15A,15A,,,15A,,,,120175,120615,440,True
001,1.0,1_4,B,14.0,,,Een soort cilinders met een klein hoekje aan de linkerkant.,,Sort of cylinders with a small corner on the left side.,,,,14B+14D,,,14B+14D,,129795,130415,620,True
001,1.0,1_4,B,14.0,,,Een soort cilinders met een klein hoekje aan de linkerkant.,,Sort of cylinders with a small corner on the left side.,,,14D,,,,14D,,131201,131541,340,True
001,1.0,1_4,B,14.0,,,En één lange ehm rechtopstaande balk voorop.,,And one long um upright beam in front.,,,,14C-REP,,,14C,,133136,134256,1120,True
001,1.0,1_4,B,14.0,,"Ja, ja, ja en die cilinders hebben zo een soort van kronkeltje lijkt het",,"Yes, yes, yes and those cylinders have this kind of twist it seems",,14B,14D,,,14D,14B,,,142326,143486,1160,True
001,1.0,1_5,A,13.0,,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,13D,13D,,,13D,,,,151001,151621,620,True
001,1.0,1_5,A,13.0,,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,13A,13A,,,13A,,,,152833,153153,320,True
001,1.0,1_5,A,13.0,,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,13A,13A,,,13A,,,,153668,154228,560,True
001,1.0,1_6,B,16.0,,,"Bovenop is een soort ovaal, zeg maar, soort bovenkant van een soeplepel.",,"On top is a kind of oval, say, kind of top of a soup ladle.",,,,16A,,,16A,,165805,166685,880,True
001,1.0,1_6,B,16.0,,,En helemaal linksachter een soort eh armpje.,,And on the far left back a kind of um arm.,,,,16D,,,16D,,178501,179161,660,True
001,1.0,1_7,A,11.0,,"dus hij heeft een soort van neusje en aan de zijkant zit een ja zit een een een een hand, ehm waarmee...",,"so he kind of has a little nose and on the side there's a yes there's a a a hand, um with what....",,11C,,,,11C,,,,191193,191333,140,True
001,1.0,1_7,A,11.0,,Ja of een arm en in die arm lijkt het alsof er een het gevouw een papiertje is met twee zijdes omhoog,,Yes or an arm and in that arm it looks like a the fold is a piece of paper with two sides up,,11C,11C,,,11C,,,,200041,200687,646,True
001,1.0,1_7,A,11.0,,Ja of een arm en in die arm lijkt het alsof er een het gevouw een papiertje is met twee zijdes omhoog,,Yes or an arm and in that arm it looks like a the fold is a piece of paper with two sides up,,11C,11C,,,11C,,,,201407,201767,360,True
001,1.0,1_7,A,11.0,,en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda,,"and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda",,11D,11A,,,11A,11D,,,203938,204098,160,True
001,1.0,1_7,A,11.0,,en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda,,"and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda",,11D-REP,11D-REP,,,11D,,,,206208,206728,520,True
001,1.0,1_7,A,11.0,,En de andere is een platte uitsteeksel,,And the other is a flat protrusion,,,11A,,,11A,,,,208938,209298,360,True
001,1.0,1_7,A,11.0,,"OkÃ©, de n- de de de voorkant is zeg maar een bolvormige,",,"Okay, the n- the the the front is say a spherical,",,11B,11B,,,11B,,,,220953,221193,240,True
001,1.0,1_7,A,11.0,,,,,,11B,,,,11B,,,,221844,222544,700,True
001,1.0,1_7,A,11.0,,,,,,11B,11B,,,11B,,,,222244,222544,300,True
001,1.0,1_7,A,11.0,,Eh ja eh de fff- eh de voorkant heeft een bolvormige uitsteeksel.,,Eh yes eh the fff- eh the front has a spherical protrusion.,,11B,11B,,,11B,,,,224951,225669,718,True
001,1.0,1_7,A,11.0,,En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.,,"And then on the side is a protrusion and there it looks like, say, a piece of paper folded.",,11C,11C,,,11C,,,,233177,233451,274,True
001,1.0,1_7,A,11.0,,En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.,,"And then on the side is a protrusion and there it looks like, say, a piece of paper folded.",,11C,11C,,,11C,,,,233771,234397,626,True
001,1.0,1_7,A,11.0,,En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.,,And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.,,11D,11D,,,11D,,,,244010,244610,600,True
001,1.0,1_7,A,11.0,,En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.,,And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.,,11D,11D,,,11D,,,,245057,245417,360,True
001,1.0,1_7,A,11.0,,En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.,,And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.,,11D,,,,11D,,,,246132,246572,440,True
001,1.0,1_7,A,11.0,,,"Ja, en dan is er nog één daarnaast. Naast dat ruitje. Dat is een soort langwerpige balk, toch?",,"Yes, and then there's one next to that - next to that little window. That's kind of an oblong bar, right?",,,,11A,,,11A,,251028,251588,560,True
001,1.0,1_8,B,8.0,,,met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.,,with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.,,,08B-REP,08B,,,08B,08B,264821,265301,480,True
001,1.0,1_8,B,8.0,,,met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.,,with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.,,,08B,08B,,,08B,,268281,268941,660,True
001,1.0,1_8,B,8.0,,,En aan de zijkant heb je een arm #voice creaks# die lijkt alsof die een knuffel gaat geven.,,And on the side you have an arm #voice creaks# that looks like it's going to give a hug.,,,08D,,,,08D,,276021,276221,200,True
001,1.0,1_8,B,8.0,,,,,,,,,08E,,,08E,,279400,280260,860,True
001,1.0,1_8,B,8.0,,Dat bovenop is is een ruit met twee vierkanten die...,,That on top is a diamond with two squares that...,,08B,08B,,,08B,,,,290081,290601,520,True
001,1.0,1_9,A,3.0,,"OkÃ©, ik heb nu eentje en het lijkt alsof die vast zit aan een anker in de zee, zeg maar.",,"Okay, I have one now and it looks like it's attached to an anchor in the sea, so to speak.",,,03C+03D,,,03C+03D,,,,299479,299759,280,True
001,1.0,1_9,A,3.0,,"Die daar zit een onderkant aan en daar zit een heel groot zwaar blok onder, lijkt het.",,"That one there has a bottom on it and there is a very large heavy block underneath, it seems.",,,03C+03D,,,03C+03D,,,,301595,301895,300,True
001,1.0,1_9,A,3.0,,"Die daar zit een onderkant aan en daar zit een heel groot zwaar blok onder, lijkt het.",,"That one there has a bottom on it and there is a very large heavy block underneath, it seems.",,,03D,,,03D,,,,302243,302443,200,True
001,1.0,1_9,A,3.0,,"Die daar zit een onderkant aan en daar zit een heel groot zwaar blok onder, lijkt het.",,"That one there has a bottom on it and there is a very large heavy block underneath, it seems.",,03D,03D,,,03D,,,,303135,304188,1053,True
001,1.0,1_9,A,3.0,,,"Ja, en die van dat blok gaat het in een spiraal naar boven.",,"Yes, and the one from that block it spirals upward.",,,,03C,,,03C,,308961,310221,1260,True
001,1.0,1_10,B,10.0,,,"Ehm deze heeft één lange arm en één korte arm, best wel dik.",,"Um this one has one long arm and one short arm, pretty thick.",,,,10A,,,10A,,319041,319281,240,True
001,1.0,1_10,B,10.0,,,"Ehm deze heeft één lange arm en één korte arm, best wel dik.",,"Um this one has one long arm and one short arm, pretty thick.",,,10E,,,,10E,,319438,319958,520,True
001,1.0,1_11,A,5.0,,"Oh (de) ehm ik vond deze een beetje op een pinguÃ¯n lijken met een hanekam, omdat hij dus recht...",,"Oh (the) ehm I thought this one looked a bit like a penguin with a cock's comb, because so he's straight....",,05E,05D,,,05D,05E,,,333643,334003,360,True
001,1.0,1_11,A,5.0,,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,Oh ja. #laughs#,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,Oh yes #laughs#,05E,05D,,,05D,05E,,,337323,337643,320,True
001,1.0,1_11,A,5.0,,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,05A,,,,05A,,,,339345,339665,320,True
001,1.0,1_11,A,5.0,,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,05A,05A,,,05A,,,,341820,342501,681,True
001,1.0,1_11,A,5.0,,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,05A,05A,,,05A,,,,343321,344281,960,True
001,1.0,1_11,A,5.0,,,heeft die een een een rechthoekige balk bovenop liggen?,,Does that one have a one rectangular beam on top?,,,,05A,,,05A,,368897,369517,620,True
001,1.0,1_11,A,5.0,,#laughs#,"En dan een een (eh) cilinder naar boven,",#laughs#,"And then a one (er) cylinder to the top,",,,,05B,,,05B,,376323,377043,720,True
001,1.0,1_11,A,5.0,,Ja en weer dat o(p)gevouwen papiertje.,,Yes and again that o(p)folded paper.,,05C,05C,,,05C,,,,379595,380075,480,True
001,1.0,1_12,B,4.0,,,"Die heeft ehm twee soort, ja, eh balken",,"Which has um two kind of, yes, um beams",,,,04B-REP,,,04B,,391959,392379,420,True
001,1.0,1_12,B,4.0,,,aan de rechterkant erin.,,on the right side in it.,,,,04B,,,04B,,394656,395356,700,True
001,1.0,1_12,B,4.0,,,En dan boven een soort vinnetje.,,And then above some kind of fin.,,,,04A,,,04A,,397744,398481,737,True
001,1.0,1_12,B,4.0,,,Ehm en nog een armpje wat ook op een vinnetje leek.,,Um and another little arm that also looked like a fin.,,,,04D,,,04D,,405366,406711,1345,True
001,1.0,1_12,B,4.0,,"en die, die, zeg maar, zijn twee rechte platte balken die er aan...",,"and those, those, say, are two straight flat beams attached to...",,,04B,,,04B,,,,411515,411795,280,True
001,1.0,1_13,A,7.0,,Ehm omdat hij dus op de helft van de dingen zit een zit een soort van plank.,,Ehm because he's so on half of the things a sits kind of plank.,,07B,07B,,,07B,,,,420881,422556,1675,True
001,1.0,1_13,A,7.0,,Em en aan de onderkant steken er twee rechthoekige balken uit die een beetje schuin gaat.,,Em and at the bottom there are two rectangular beams sticking out that goes at a slight angle.,,07C,07C,,,07C,,,,426761,427641,880,True
001,1.0,1_13,A,7.0,,,Ja en voorop nog een soort (m) bakje.,,Yes and in front another kind (m) tray.,,,,07A,,,07A,,437443,438051,608,True
001,1.0,1_14,B,2.0,,,"Deze heeft een eh ja ijshoorntje op de kop, op de bovenkant.",,"This one has an um yes ice cream cone on the head, on the top.",,,,02A,,,02A,,449178,449578,400,True
001,1.0,1_14,B,2.0,,,En je hebt dan nog aan de rechterkant een soort uitsteeksel die met een pinnetje erin lijkt te zitten.,,And then you have another kind of protrusion on the right side that seems to have a pin in it.,,,,02D,,,02D,,460729,461689,960,True
001,1.0,1_15,A,1.0,,als in er zit een een cilinder bovenop met een twee cirkeltjes.,,as in there is a one a cylinder on top with a two circles.,,,01A,,,01A,,,,487690,489641,1951,True
001,1.0,1_15,A,1.0,,Eh en aan de voorkant zit een grote vierkant vlak.,,Um and on the front is a big square plane.,,01B,01B,,,01B,,,,492443,493383,940,True
001,1.0,1_15,A,1.0,,"of eh ja, aan de linkerkant, dus, zitten dus, zeg maar, weer die vierkanten die steeds groter worden.",,"or um yes, on the left side, so, so there are, say, again these squares that get bigger and bigger.",,01C,,,,01C,,,,495150,495890,740,True
001,1.0,1_15,A,1.0,,"of eh ja, aan de linkerkant, dus, zitten dus, zeg maar, weer die vierkanten die steeds groter worden.",,"or um yes, on the left side, so, so there are, say, again these squares that get bigger and bigger.",,01C,01C,,,01C,,,,498781,499901,1120,True
001,1.0,1_16,B,12.0,,,En daarbovenop is een heel puntig uitsteeksel met een vierkant bovenop.,,And on top of that is a very pointed protrusion with a square on top.,,,,12C,,,12C,,511343,511763,420,True
001,1.0,1_16,B,12.0,,,En daarbovenop is een heel puntig uitsteeksel met een vierkant bovenop.,,And on top of that is a very pointed protrusion with a square on top.,,,,12C,,,12C,,512755,513235,480,True
001,1.0,1_16,B,12.0,,,"En dan heeft die eh aan de rechterk- ja eh aan de linkerkant, licht eraan welke k- welke kant je het bekijkt, een soort plat dienblad.",,"And then that um on the right- yes um on the left side, depends which k- which side you look at it, has a kind of flat tray.",,,,12A,,,12A,,519878,520138,260,True
001,2.0,2_1,A,14.0,,Eh dit is eh met een bol bovenop,,Eh this is eh with a sphere on top,,14A,14A,,,14A,,,,541800,542300,500,True
001,2.0,2_1,A,14.0,,"en een ehm eh rechthoekige, ja, rechthoeke, rek- rechthoekige balk",,"and a um um rectangular, yes, rectangular, stretch rectangular beam",,14C,,,,14C,,,,548343,548643,300,True
001,2.0,2_1,A,14.0,,"en een ehm eh rechthoekige, ja, rechthoeke, rek- rechthoekige balk",,"and a um um rectangular, yes, rectangular, stretch rectangular beam",,14C,14C,,,14C,,,,549281,549701,420,True
001,2.0,2_1,A,14.0,,"En dan twee uitstulpsels van de armen,",,"And then two bulges of arms,",,14D,14B,,,14B,14D,,,558111,558491,380,True
001,2.0,2_2,B,9.0,,,En dan zo heb je de lepel in het glas en dan nog een eh uitsteeksel,,And then so you have the spoon in the glass and then another um protrusion,,,,09A,,,09A,,577893,578153,260,True
001,2.0,2_2,B,9.0,,,En dan zo heb je de lepel in het glas en dan nog een eh uitsteeksel,,And then so you have the spoon in the glass and then another um protrusion,,,,09C,,,09C,,581067,582301,1234,True
001,2.0,2_2,B,9.0,,,En onderop staat die op een eh soort langwerpige balk.,,And at the bottom it's on an um kind of oblong bar.,,,09B,09B,,,09B,,585720,586200,480,True
001,2.0,2_3,A,16.0,,"Dat is een soort van, eh ja, ovaal die erin zitten.",,"That's kind of, um, oval that are in there.",,,16A+16C,,,16A+16C,,,,604570,605190,620,True
001,2.0,2_3,A,16.0,,"Dat is een soort van, eh ja, ovaal die erin zitten.",,"That's kind of, um, oval that are in there.",,16A+16C,16A+16C,,,16A+16C,,,,605660,606280,620,True
001,2.0,2_3,A,16.0,,"Dat is een soort van, eh ja, ovaal die erin zitten.",,"That's kind of, um, oval that are in there.",,16A,16C,,,16C,16A,,,606509,606829,320,True
001,2.0,2_3,A,16.0,,"En dan aan de ehm l- rechterkant, aan de zijkant, heb je dus weer dat vierkant dat steeds groter wordt.",,"And then on the um l-right side, on the side, so again you have this square that gets bigger and bigger.",,16B,16B,,,16B,,,,612561,613481,920,True
001,2.0,2_3,A,16.0,,En aan de achterkant heb je een soort van armpje die een beetje krom staat.,,And at the back you have a kind of little arm that's kind of crooked.,,,16D,,,16D,,,,615564,615924,360,True
001,2.0,2_4,B,3.0,,,dus die spiraal die naar beneden gaat met de driehoek.,,So that spiral going down with the triangle.,,,,03C,,,03C,,623588,623941,353,True
001,2.0,2_4,B,3.0,,,dus die spiraal die naar beneden gaat met de driehoek.,,So that spiral going down with the triangle.,,,,03C,,,03C,,624041,624581,540,True
001,2.0,2_6,B,11.0,,,Neusje voorop en dan aan de rechterkant het eh omgevouwen papiertje.,,Nose in front and then on the right side the um folded paper.,,,11C,11C,,,11C,,649013,649773,760,True
001,2.0,2_8,B,7.0,,,maar dan daarboven met het bakje bovenop en een soort tafeltje eh naar beneden.,,but up there with the tray on top and a kind of table eh down.,,,07B,07B,,,07B,,663761,663901,140,True
001,2.0,2_8,B,7.0,,,maar dan daarboven met het bakje bovenop en een soort tafeltje eh naar beneden.,,but up there with the tray on top and a kind of table eh down.,,,,07A,,,07A,,665031,665371,340,True
001,2.0,2_8,B,7.0,,Ehm is dat die met die glijbaan of die met dat bakje voorop?,,Um is that the one with the slide or the one with the tray in front?,,,15B,,,15B,,,,673059,673439,380,True
001,2.0,2_8,B,7.0,,Ehm is dat die met die glijbaan of die met dat bakje voorop?,,Um is that the one with the slide or the one with the tray in front?,,07A,07A,,,07A,,,,674000,674600,600,True
001,2.0,2_9,A,6.0,,Ehm dit is weer die ene met dat armpje met die met die (bout) erdoorheen en een cirkel aan de achterkant.,,Um this is the one again with that little arm with the one with the (bolt) through it and a circle on the back.,,06D-REP,06D-REP,,,06D,,,,683133,683553,420,True
001,2.0,2_9,A,6.0,,Ehm dit is weer die ene met dat armpje met die met die (bout) erdoorheen en een cirkel aan de achterkant.,,Um this is the one again with that little arm with the one with the (bolt) through it and a circle on the back.,,,06C,,,06C,,,,684606,685166,560,True
001,2.0,2_10,B,13.0,,,Eh dit is degene die eh op het plateautje staat,,Um this is the one that is eh on the tray,,,13D,13D,,,13D,,694535,694915,380,True
001,2.0,2_10,B,13.0,,,met de twee eh uitsteeksels met bolletjes.,,With the two eh protrusions with spheres.,,,13A-REP,13A-REP,,,13A,,696495,696775,280,True
001,2.0,2_11,A,2.0,,Ehm dit is weer eh die rijder de met die eh ijshoorn op de kop.,,Um this is again eh that rider the with that eh ice cream cone on the head.,,02A,,,,02A,,,,704621,705402,781,True
001,2.0,2_13,A,8.0,,Ehm dit is die met die soort van Pinocchio-neus,,Um this is the one with the kind of Pinocchio nose,,08C,08C,,,08C,,,,717925,718105,180,True
001,2.0,2_13,A,8.0,,en dan een voetje eronder,,and then a foot underneath,,08E,,,,08E,,,,719876,720296,420,True
001,2.0,2_13,A,8.0,,en een f- armpje aan de zijkant met daar bovenop een eh ruit,,and an f- arm on the side with an eh window on top of it,,,08D,,,08D,,,,721682,722082,400,True
001,2.0,2_13,A,8.0,,en een f- armpje aan de zijkant met daar bovenop een eh ruit,,and an f- arm on the side with an eh window on top of it,,08A,08A,,,08A,,,,724970,725401,431,True
001,2.0,2_13,A,8.0,,"die weer van die s-, ja, van die vierkanten heeft die groter wordt.",,"which again has those s-, yes, those squares that get bigger.",,08B,08B,,,08B,,,,726594,726994,400,True
001,2.0,2_16,B,5.0,,,Eh dit is degene die heel compact is met een rechthoekige balk liggend bovenop.,,Um this is the one that is very compact with a rectangular beam lying on top.,,,,05A,,,05A,,750260,750580,320,True
001,2.0,2_16,B,5.0,,"Oh, de pinguÃ¯n.",en twee armpjes.,"Oh, the penguin.",and two little arms.,,,05E,05D,,,05D,05E,755214,755634,420,True
001,3.0,3_1,A,9.0,,"Oh, ik heb weer de cocktail met het citroentje, en het armpje en het eh roerstaafje.",,"Oh, I got the cocktail again with the little lemon, and the little arm and the er stirrer.",,09D,09A,,,09A,09D,,,764222,764402,180,True
001,3.0,3_1,A,9.0,,"Oh, ik heb weer de cocktail met het citroentje, en het armpje en het eh roerstaafje.",,"Oh, I got the cocktail again with the little lemon, and the little arm and the er stirrer.",,09C,,,,09C,,,,764448,764868,420,True
001,3.0,3_1,A,9.0,,"Oh, ik heb weer de cocktail met het citroentje, en het armpje en het eh roerstaafje.",,"Oh, I got the cocktail again with the little lemon, and the little arm and the er stirrer.",,,09A,,,09A,,,,765336,765916,580,True
001,3.0,3_2,B,10.0,,,Ehm ik heb degene met de armpjes met de bolletjes en de omgevallen paddenstoel.,,Ehm I got the one with the little arms with the balls and the fallen mushroom.,,,10E+10F,10A+10B,,,10A+10B,10E+10F,771508,772028,520,True
001,3.0,3_4,B,12.0,,,Ik heb de ober met het dienblad en de gekke satelliet.,,I got the waiter with the tray and the crazy satellite.,,,,12A,,,12A,,787759,788159,400,True
001,3.0,3_5,A,1.0,,Ik heb nu mijn satelliet met de paddenstoel bovenop.,,I now have my satellite with the mushroom on top.,,,01A,,,01A,,,,795625,795911,286,True
001,3.0,3_7,A,7.0,,Eh ik heb de nu de drijver met het bakje voorop.,,Um I have the now the float with the tray in front.,,07A,07A,,,07A,,,,810496,810636,140,True
001,3.0,3_8,B,16.0,,Ja.,Ik heb degene die met de ovaalvormige aan de bovenkant en aan de linkerkant en verder nog twee uitsteeksels.,Yes.,I have the one with the oval at the top and on the left side and two more protrusions.,,,,16A,,,16A,,819049,819289,240,True
001,3.0,3_8,B,16.0,,Ja.,Ik heb degene die met de ovaalvormige aan de bovenkant en aan de linkerkant en verder nog twee uitsteeksels.,Yes.,I have the one with the oval at the top and on the left side and two more protrusions.,,,16C,,,,16C,,819927,820207,280,True
001,3.0,3_8,B,16.0,,"met de g- g- eh aan de rechterkant, of, ja, ja, de rechterkant, die vierkant die steeds groter wordt.",,"with the g- g- eh on the right side, or, yes, yes, the right side, that square that keeps getting bigger.",,,16B,,,16B,,,,829851,831181,1330,True
001,3.0,3_9,A,13.0,,"Eh ik heb die staande met die eh cirkel eh handjes aan de zijkant,",,"Um I have the standing one with the um circle um hands on the side,",,13D,13D,,,13D,,,,835547,835947,400,True
001,3.0,3_9,A,13.0,,"Eh ik heb die staande met die eh cirkel eh handjes aan de zijkant,",,"Um I have the standing one with the um circle um hands on the side,",,13A,13A,,,13A,,,,836729,836789,60,True
001,3.0,3_9,A,13.0,,"Eh ik heb die staande met die eh cirkel eh handjes aan de zijkant,",,"Um I have the standing one with the um circle um hands on the side,",,13A,13A,,,13A,,,,838961,839121,160,True
001,3.0,3_9,A,13.0,,"op een plateau, zeg maar.",,"On a plateau, so to speak.",,13D,13D,,,13D,,,,840861,841341,480,True
001,3.0,3_9,A,13.0,,,"Ehm ja, het plateau helemaal onderop.",,"Um yes, the tray at the very bottom.",,,,13D,,,13D,,844440,845040,600,True
001,3.0,3_10,B,2.0,,,Ik heb degene met het omgevallen ijshoorntje op de kop.,,I got the one with the toppled ice cream cone on it.,,,,02A,,,02A,,850831,851071,240,True
001,3.0,3_10,B,2.0,,,Ik heb degene met het omgevallen ijshoorntje op de kop.,,I got the one with the toppled ice cream cone on it.,,,,02A,,,02A,,852029,852369,340,True
001,3.0,3_12,B,6.0,,,"Dit is degene eh die de balk vast heeft,",,"This is the one eh holding the beam,",,,,06B,,,06B,,865657,866957,1300,True
001,3.0,3_12,B,6.0,,,,,,,,,06D,,,06D,,867901,868221,320,True
001,3.0,3_13,A,5.0,,,"Ja, met de balk, recht(e) balk erop liggend, toch?",,"Yes, with the beam, straight(er) beam lying on top of it, right?",,,,05A,,,05A,,879601,880521,920,True
001,3.0,3_13,A,5.0,,,"Ja, met de balk, recht(e) balk erop liggend, toch?",,"Yes, with the beam, straight(er) beam lying on top of it, right?",05A,,,,05A,,,,881577,881817,240,True
001,3.0,3_14,B,8.0,,,Eh ik heb Pinocchio met het armpje die wil knuffelen en bovenop de ruit.,,Um I have Pinocchio with the little arm that wants to cuddle and on top of the window.,,,08D,,,,08D,,887529,887869,340,True
001,3.0,3_16,B,14.0,,,Dit is degene met de twee armpjes en het bolletje bovenop,,This is the one with the two arms and the little ball on top,,,14D,14B,,,14B,14D,901671,902111,440,True
001,3.0,3_16,B,14.0,,,Dit is degene met de twee armpjes en het bolletje bovenop,,This is the one with the two arms and the little ball on top,,,14A,,,,14A,,903401,903541,140,True
001,3.0,3_16,B,14.0,,,en de balk voorop.,,and the beam in front.,,,,14C,,,14C,,905520,906260,740,True
001,4.0,4_1,A,10.0,,Eh eh ik heb weer die met die twee armpjes en dat cirkeltje eraan en de omgevallen paddenstoel.,,Um um again I have the one with the two little arms and that little circle on it and the fallen mushroom.,,10F,10B,,,10B,10F,,,913706,914406,700,True
