Begin Time - msec,End Time - msec,Duration - msec,A_LH_gesture,A_RH_gesture,B_LH_gesture,B_RH_gesture,File,File Path,A_RH_gesture_lexaff,B_RH_gesture_deixis,B_RH_gesture_beat,A_LH_gesture_comments,B_speech_eng,B_LH_gesture_pragmaticality,correct_answer,accuracy,trial,A_RH_gesture_pragmaticality,B_LH_gesture_lexaff,A_speech,screens,A_RH_gesture_iconicity,A_speech_eng,A_RH_gesture_comments,given_answer,A_LH_gesture_beat,comments,A_LH_gesture_iconicity,B_LH_gesture_beat,director,A_RH_gesture_beat,A_LH_gesture_referent,A_RH_gesture_deixis,B_speech,B_RH_gesture_iconicity,A_RH_gesture_referent,A_LH_gesture_deixis,target,B_RH_gesture_lexaff,round,B_LH_gesture_comments,B_RH_gesture_comments,B_RH_gesture_referent,B_LH_gesture_iconicity,B_LH_gesture_deixis,A_LH_gesture_pragmaticality,A_LH_gesture_lexaff,B_LH_gesture_referent,B_RH_gesture_pragmaticality,pair,gesturer,iconic_a,iconic_b,iconic
35942,36182,240,gesture,,,,001.eaf,,,,,,,,14,,1_1,,,"Ehm ja, die er tegenaan zit",,,"Ummm yes, the one that sits against it",,,,,1.0,,A,,09D,,,,,,9.0,,1.0,,,,,,,,,,001,A,True,False,True
62023,62423,400,,,,gesture,001.eaf,,,,,,Um it looks like that one has an arm.,,D,,1_2,,,,,,,,,,,,,B,,,,Ehm het lijkt alsof die een arm heeft.,1.0,,,6.0,,1.0,,,06B,,,,,,,001,B,False,True,True
63661,63991,330,,,,gesture,001.eaf,,,,,,And in that arm is a one um oblong bar.,,D,,1_2,,,,,,,,,,,,,B,,,,En in die arm zit een een eh langwerpige balk.,1.0,,,6.0,,1.0,,,06D-REP,,,,,,,001,B,False,True,True
65201,65770,569,,,,gesture,001.eaf,,,,,,And in that arm is a one um oblong bar.,,D,,1_2,,,,,,,,,,,,,B,,,,En in die arm zit een een eh langwerpige balk.,1.0,,,6.0,,1.0,,,06D-rep,,,,,,,001,B,False,True,True
67671,68071,400,,,,gesture,001.eaf,,,,,,And at the front of that beam is a circle.,,D,,1_2,,,,,,,,,,,,,B,,,,En aan de voorkant van die balk zit een cirkel.,1.0,,,6.0,,1.0,,,06C,,,,,,,001,B,False,True,True
71141,71961,820,,,,gesture,001.eaf,,,,,,And on top is one little plume actually.,,D,,1_2,,,,,,,,,,,,,B,,,,En bovenop zit nog één klein pluimpje eigenlijk.,1.0,,,6.0,,1.0,,,06A,,,,,,,001,B,False,True,True
79567,80047,480,gesture,gesture,,,001.eaf,,,,,,,,D,,1_2,,,"Ehm ja, die z-zit hij door die arm heen?",,1.0,"Um yeah, that z-she's through that arm?",,,,,1.0,,B,,06D,,,,06D,,6.0,,1.0,,,,,,,,,,001,A,True,False,True
88685,89085,400,gesture,gesture,,,001.eaf,,,,,,,,D,,1_2,,,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,1.0,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,,,,1.0,,B,,06B-REP,,,,06B-REP,,6.0,,1.0,,,,,,,,,,001,A,True,False,True
89617,90110,493,gesture,gesture,,,001.eaf,,,,,,,,D,,1_2,,,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,1.0,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,,,,1.0,,B,,06B-rep,,,,06B-rep,,6.0,,1.0,,,,,,,,,,001,A,True,False,True
107604,108144,540,gesture,gesture,,,001.eaf,,,,,The gesture seems to depict floating,,,8,,1_3,,,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit",,1.0,"Um it looks like it floats, because there is, say, a plate on half of that thingy",,,,,1.0,,A,,other,,,,other,,15.0,,1.0,,,,,,,,,,001,A,True,False,True
109461,110021,560,gesture,gesture,,,001.eaf,,,,,,,,8,,1_3,,,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit",,1.0,"Um it looks like it floats, because there is, say, a plate on half of that thingy",,,,,1.0,,A,,15C-REP,,,,15C-REP,,15.0,,1.0,,,,,,,,,,001,A,True,False,True
110628,111168,540,gesture,gesture,,,001.eaf,,,,,,,,8,,1_3,,,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit",,1.0,"Um it looks like it floats, because there is, say, a plate on half of that thingy",,,,,1.0,,A,,15C-rep,,,,15C-rep,,15.0,,1.0,,,,,,,,,,001,A,True,False,True
113461,114067,606,gesture,,,,001.eaf,,,,,,,,8,,1_3,,,en het lijkt alsof er naar die plaat een soort van glijbaan gaat,,,and it looks like there's some kind of slide going to that plate,,,,,1.0,,A,,15B,,,,,,15.0,,1.0,,,,,,,,,,001,A,True,False,True
115447,116147,700,gesture,,,,001.eaf,,,,,,,,8,,1_3,,,en dat hij tegelijk een een pijp aan het roken is,,,and that at the same time he is smoking a pipe,,,,,1.0,,A,,15D,,,,,,15.0,,1.0,,,,,,,,,,001,A,True,False,True
120175,120615,440,gesture,gesture,,,001.eaf,,,,,,,,8,,1_3,,,met m-met twee uitlaatdingetjes erbovenop.,,1.0,With m-with two exhaust things on top.,,,,,1.0,,A,,15A,1.0,,,15A,1.0,15.0,,1.0,,,,,,,,,,001,A,True,False,True
129795,130415,620,,,,gesture,001.eaf,,,,,,Sort of cylinders with a small corner on the left side.,,I,,1_4,,,,,,,,,,,,,B,,,,Een soort cilinders met een klein hoekje aan de linkerkant.,1.0,,,14.0,,1.0,,,14B+14D,,,,,,,001,B,False,True,True
131201,131541,340,,,gesture,,001.eaf,,,,,,Sort of cylinders with a small corner on the left side.,1.0,I,,1_4,,,,,,,,,,,,,B,,,,Een soort cilinders met een klein hoekje aan de linkerkant.,,,,14.0,,1.0,,,,1.0,1.0,,,14D,,001,B,False,True,True
133136,134256,1120,,,,gesture,001.eaf,,,,,,And one long um upright beam in front.,,I,,1_4,,,,,,,,,,,,,B,,,,En één lange ehm rechtopstaande balk voorop.,1.0,,,14.0,,1.0,,,14C-REP,,,,,,,001,B,False,True,True
136190,136510,320,,,,gesture,001.eaf,,,,1.0,,And one long um upright beam in front.,,I,,1_4,,,,,,,,,,,,,B,,,,En één lange ehm rechtopstaande balk voorop.,1.0,,,14.0,,1.0,,,14C-rep,,,,,,,001,B,False,True,True
142326,143486,1160,gesture,gesture,,,001.eaf,,,,,Unsure which hand refers to which subpart exactly,,,I,,1_4,,,"Ja, ja, ja en die cilinders hebben zo een soort van kronkeltje lijkt het",,1.0,"Yes, yes, yes and those cylinders have this kind of twist it seems",,,,,1.0,,B,,14B,,,,14D,,14.0,,1.0,,,,,,,,,,001,A,True,False,True
151001,151621,620,gesture,gesture,,,001.eaf,,,,,,,,2,,1_5,,,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,1.0,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,,,,1.0,,A,,13D,,,,13D,,13.0,,1.0,,,,,,,,,,001,A,True,False,True
152833,153153,320,gesture,gesture,,,001.eaf,,,,,,,,2,,1_5,,,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,1.0,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,,,,1.0,,A,,13A,,,,13A,,13.0,,1.0,,,,,,,,,,001,A,True,False,True
153668,154228,560,gesture,gesture,,,001.eaf,,,,,,,,2,,1_5,,,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,1.0,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,,,,1.0,,A,,13A,,,,13A,,13.0,,1.0,,,,,,,,,,001,A,True,False,True
165805,166685,880,,,,gesture,001.eaf,,,,1.0,,"On top is a kind of oval, say, kind of top of a soup ladle.",,B,,1_6,,,,,,,,,,,,,B,,,,"Bovenop is een soort ovaal, zeg maar, soort bovenkant van een soeplepel.",1.0,,,16.0,,1.0,,"Metaphorical representation, holding the handle of a ladle",16A,,,,,,,001,B,False,True,True
178501,179161,660,,,,gesture,001.eaf,,,,,,And on the far left back a kind of um arm.,,B,,1_6,,,,,,,,,,,,,B,,,,En helemaal linksachter een soort eh armpje.,1.0,,,16.0,,1.0,,,16D,,,,,,,001,B,False,True,True
191193,191333,140,gesture,,,,001.eaf,,,,,,,,1,,1_7,,,"dus hij heeft een soort van neusje en aan de zijkant zit een ja zit een een een een hand, ehm waarmee...",,,"so he kind of has a little nose and on the side there's a yes there's a a a hand, um with what....",,,,,1.0,,A,,11C,,,,,1.0,11.0,,1.0,,,,,,,,,,001,A,True,False,True
200041,200687,646,gesture,gesture,,,001.eaf,,,,,,,,1,,1_7,,,Ja of een arm en in die arm lijkt het alsof er een het gevouw een papiertje is met twee zijdes omhoog,,1.0,Yes or an arm and in that arm it looks like a the fold is a piece of paper with two sides up,,,1.0,,1.0,,A,1.0,11C,,,,11C,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
201407,201767,360,gesture,gesture,,,001.eaf,,,,,,,,1,,1_7,,,Ja of een arm en in die arm lijkt het alsof er een het gevouw een papiertje is met twee zijdes omhoog,,1.0,Yes or an arm and in that arm it looks like a the fold is a piece of paper with two sides up,,,,,1.0,,A,,11C,,,,11C,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
203938,204098,160,gesture,gesture,,,001.eaf,,,,,,,,1,,1_7,,,en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda,,1.0,"and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda",,,,,1.0,,A,,11D,,,,11A,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
206208,206728,520,gesture,gesture,,,001.eaf,,,,,,,,1,,1_7,,,en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda,,1.0,"and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda",,,,,1.0,,A,,11D-REP,,,,11D-REP,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
207529,207969,440,gesture,gesture,,,001.eaf,,,,,,,,1,,1_7,,,en daarbovenop zitten twee uitsteeksels waarvan eentje heel erg lijkt op de puntenverzameling van het spel Zelda,,1.0,"and on top of that are two protrusions, one of which looks very much like the points collection from the game Zelda",,,,,1.0,,A,,11D-rep,,,,11D-rep,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
208938,209298,360,,gesture,,,001.eaf,,,,,,,,1,,1_7,,,En de andere is een platte uitsteeksel,,1.0,And the other is a flat protrusion,,,,,,,A,,,,,,11A,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
220953,221193,240,gesture,gesture,,,001.eaf,,,,,,,,1,,1_7,,,"OkÃ©, de n- de de de voorkant is zeg maar een bolvormige,",,1.0,"Okay, the n- the the the front is say a spherical,",,,1.0,,1.0,,A,1.0,11B,,,,11B,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
221844,222544,700,gesture,,,,001.eaf,,,,,,,,1,,1_7,,,,,,,,,,,1.0,,A,,11B,,,,,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
222244,222544,300,,gesture,,,001.eaf,,,,,,,,1,,1_7,,,,,1.0,,,,,,1.0,,A,,11B,,,,11B,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
224951,225669,718,gesture,gesture,,,001.eaf,,,,,,,,1,,1_7,,,Eh ja eh de fff- eh de voorkant heeft een bolvormige uitsteeksel.,,1.0,Eh yes eh the fff- eh the front has a spherical protrusion.,,,1.0,,1.0,,A,1.0,11B,,,,11B,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
233177,233451,274,gesture,gesture,,,001.eaf,,,,,,,,1,,1_7,,,En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.,,1.0,"And then on the side is a protrusion and there it looks like, say, a piece of paper folded.",,,,,1.0,,A,,11C,,,,11C,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
233771,234397,626,gesture,gesture,,,001.eaf,,,,,,,,1,,1_7,,,En dan aan de zijkant zit een uitsteeksel en daar lijkt het alsof er zeg maar een papiertje gevouwen is.,,1.0,"And then on the side is a protrusion and there it looks like, say, a piece of paper folded.",,,,,1.0,,A,,11C,,,,11C,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
244010,244610,600,gesture,gesture,,,001.eaf,,,,,,,,1,,1_7,,,En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.,,1.0,And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.,,,,,1.0,,A,,11D,,,,11D,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
245057,245417,360,gesture,gesture,,,001.eaf,,,,,,,,1,,1_7,,,En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.,,1.0,And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.,,,,,1.0,,A,,11D,,,,11D,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
246132,246572,440,gesture,,,,001.eaf,,,,,,,,1,,1_7,,,En dan heb je bovenop heb je ook twee uitsteeksels waarvan Ã©Ã©n is zeg maar een ruitje met een ander ruitje eraan en die zit er dan bovenop.,,,And then on top you also have two protrusions one of which is say a pane of glass with another pane of glass attached to it and it sits on top.,,,,,1.0,,A,,11D,,,,,,11.0,,1.0,,,,,,,,,,001,A,True,False,True
251028,251588,560,,,,gesture,001.eaf,,,,,,"Yes, and then there's one next to that - next to that little window. That's kind of an oblong bar, right?",,1,,1_7,,,,,,,,,,,,,A,,,,"Ja, en dan is er nog één daarnaast. Naast dat ruitje. Dat is een soort langwerpige balk, toch?",1.0,,,11.0,,1.0,,,11A,,,,,,,001,B,False,True,True
264821,265301,480,,,gesture,gesture,001.eaf,,,,,,with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.,,C,,1_8,,,,,,,,,,,,,B,,,,met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.,1.0,,,8.0,,1.0,,,08B,1.0,,,,08B-REP,,001,B,False,True,True
266379,266759,380,,,gesture,gesture,001.eaf,,,,,,with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.,,C,,1_8,,,,,,,,,,,,,B,,,,met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.,1.0,,,8.0,,1.0,,,08B-REP,1.0,,,,08B-rep,,001,B,False,True,True
268281,268941,660,,,gesture,gesture,001.eaf,,,,,,with two yes kind of full sprites that eh again of those squares on that get bigger and bigger.,,C,,1_8,,,,,,,,,,,,,B,,,,met twee ja soort volsprieten die eh weer van die vierkanten op die steeds groter worden.,1.0,,,8.0,,1.0,,,08B,1.0,,,,08B,,001,B,False,True,True
276021,276221,200,,,gesture,,001.eaf,,,,,,And on the side you have an arm #voice creaks# that looks like it's going to give a hug.,,C,,1_8,,,,,,,,,,,,,B,,,,En aan de zijkant heb je een arm #voice creaks# die lijkt alsof die een knuffel gaat geven.,,,,8.0,,1.0,,,,1.0,,,,08D,,001,B,False,True,True
279400,280260,860,,,,gesture,001.eaf,,,,,,,,C,,1_8,,,,,,,,,,,,,B,,,,,1.0,,,8.0,,1.0,,,08E,,,,,,,001,B,False,True,True
290081,290601,520,gesture,gesture,,,001.eaf,,,,,,,,C,,1_8,,,Dat bovenop is is een ruit met twee vierkanten die...,,1.0,That on top is a diamond with two squares that...,,,,,1.0,,B,,08B,,,,08B,,8.0,,1.0,,,,,,,,,,001,A,True,False,True
299479,299759,280,,gesture,,,001.eaf,,,,,,,,10,,1_9,,,"OkÃ©, ik heb nu eentje en het lijkt alsof die vast zit aan een anker in de zee, zeg maar.",,1.0,"Okay, I have one now and it looks like it's attached to an anchor in the sea, so to speak.",,,,,,,A,,,,,,03C+03D,,3.0,,1.0,,,,,,,,,,001,A,True,False,True
301595,301895,300,,gesture,,,001.eaf,,,,,,,,10,,1_9,,,"Die daar zit een onderkant aan en daar zit een heel groot zwaar blok onder, lijkt het.",,1.0,"That one there has a bottom on it and there is a very large heavy block underneath, it seems.",,,,,,,A,,,,,,03C+03D,,3.0,,1.0,,,,,,,,,,001,A,True,False,True
302243,302443,200,,gesture,,,001.eaf,,,,,,,,10,,1_9,,,"Die daar zit een onderkant aan en daar zit een heel groot zwaar blok onder, lijkt het.",,1.0,"That one there has a bottom on it and there is a very large heavy block underneath, it seems.",,,,,,,A,,,,,,03D,,3.0,,1.0,,,,,,,,,,001,A,True,False,True
303135,304188,1053,gesture,gesture ,,,001.eaf,,,,,,,,10,,1_9,,,"Die daar zit een onderkant aan en daar zit een heel groot zwaar blok onder, lijkt het.",,1.0,"That one there has a bottom on it and there is a very large heavy block underneath, it seems.",,,,,1.0,,A,,03D,,,,03D,,3.0,,1.0,,,,,,,,,,001,A,True,False,True
308961,310221,1260,,,,gesture,001.eaf,,,,,,"Yes, and the one from that block it spirals upward.",,10,,1_9,,,,,,,,,,,,,A,,,,"Ja, en die van dat blok gaat het in een spiraal naar boven.",1.0,,,3.0,,1.0,,,03C,,,,,,,001,B,False,True,True
319041,319281,240,,,,gesture,001.eaf,,,,,,"Um this one has one long arm and one short arm, pretty thick.",,P,,1_10,,,,,,,,,,,,,B,,,,"Ehm deze heeft één lange arm en één korte arm, best wel dik.",1.0,,,10.0,,1.0,,,10A,,,,,,,001,B,False,True,True
319438,319958,520,,,gesture,,001.eaf,,,,,,"Um this one has one long arm and one short arm, pretty thick.",,P,,1_10,,,,,,,,,,,,,B,,,,"Ehm deze heeft één lange arm en één korte arm, best wel dik.",,,,10.0,,1.0,,,,1.0,,,,10E,,001,B,False,True,True
333643,334003,360,gesture,gesture,,,001.eaf,,,,,unsure,,,16,,1_11,,,"Oh (de) ehm ik vond deze een beetje op een pinguÃ¯n lijken met een hanekam, omdat hij dus recht...",,1.0,"Oh (the) ehm I thought this one looked a bit like a penguin with a cock's comb, because so he's straight....",unsure,,1.0,,1.0,,A,1.0,05E,,,,05D,,5.0,,1.0,,,,,,,,,,001,A,True,False,True
337323,337643,320,gesture,gesture,,,001.eaf,,,,,,Oh yes #laughs#,,16,,1_11,,,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,,1.0,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,,1.0,,1.0,,A,1.0,05E,,Oh ja. #laughs#,,05D,,5.0,,1.0,,,,,,,,,,001,A,True,False,True
339345,339665,320,gesture,,,,001.eaf,,,,,,,,16,,1_11,,,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,,,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,,,,1.0,,A,,05A,,,,,,5.0,,1.0,,,,,,,,,,001,A,True,False,True
341820,342501,681,gesture,gesture,,,001.eaf,,,,,,,,16,,1_11,,,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,,1.0,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,,,,1.0,,A,,05A,,,,05A,,5.0,,1.0,,,,,,,,,,001,A,True,False,True
343321,344281,960,gesture,gesture,,,001.eaf,,,,,,,,16,,1_11,,,Dus ja hij heeft twee armpjes die hetzelfde zijn en die hanekam is zeg maar een groot eh rechthoekig hok blo- blok bovenop dat dingetje.,,1.0,So yes he has two little arms that are the same and that cock crest is say a big um rectangular loft blo- block on top of that thingy.,,,,,1.0,,A,,05A,1.0,,,05A,1.0,5.0,,1.0,,,,,,,,,,001,A,True,False,True
368897,369517,620,,,,gesture,001.eaf,,,,,,Does that one have a one rectangular beam on top?,,16,,1_11,,,,,,,,,,,,,A,,,,heeft die een een een rechthoekige balk bovenop liggen?,1.0,,,5.0,,1.0,,,05A,,,,,,,001,B,False,True,True
376323,377043,720,,,,gesture,001.eaf,,,,,,"And then a one (er) cylinder to the top,",,16,,1_11,,,#laughs#,,,#laughs#,,,,,,,A,,,,"En dan een een (eh) cilinder naar boven,",1.0,,,5.0,,1.0,,,05B,,,,,,,001,B,False,True,True
379595,380075,480,gesture,gesture,,,001.eaf,,,,,,,,16,,1_11,,,Ja en weer dat o(p)gevouwen papiertje.,,1.0,Yes and again that o(p)folded paper.,,,,,1.0,,A,,05C,,,,05C,,5.0,,1.0,,,,,,,,,,001,A,True,False,True
391959,392379,420,,,,gesture,001.eaf,,,,,,"Which has um two kind of, yes, um beams",,A,,1_12,,,,,,,,,,,,,B,,,,"Die heeft ehm twee soort, ja, eh balken",1.0,,,4.0,,1.0,,,04B-REP,,,,,,,001,B,False,True,True
392975,393675,700,,,,gesture,001.eaf,,,,,,"Which has um two kind of, yes, um beams",,A,,1_12,,,,,,,,,,,,,B,,,,"Die heeft ehm twee soort, ja, eh balken",1.0,,,4.0,,1.0,,,04B-rep,,,,,,,001,B,False,True,True
394656,395356,700,,,,gesture,001.eaf,,,,,,on the right side in it.,,A,,1_12,,,,,,,,,,,,,B,,,,aan de rechterkant erin.,1.0,,,4.0,,1.0,,,04B,,,,,,,001,B,False,True,True
397744,398481,737,,,,gesture,001.eaf,,,,,,And then above some kind of fin.,,A,,1_12,,,,,,,,,,,,,B,,,,En dan boven een soort vinnetje.,1.0,,,4.0,,1.0,,,04A,,,,,,,001,B,False,True,True
405366,406711,1345,,,,gesture,001.eaf,,,,,,Um and another little arm that also looked like a fin.,,A,,1_12,,,,,,,,,,,,,B,,,,Ehm en nog een armpje wat ook op een vinnetje leek.,1.0,,,4.0,,1.0,,,04D,,,,,,,001,B,False,True,True
411515,411795,280,,gesture,,,001.eaf,,,,,,,,A,,1_12,,,"en die, die, zeg maar, zijn twee rechte platte balken die er aan...",,1.0,"and those, those, say, are two straight flat beams attached to...",,,,,,,B,,,,,,04B,,4.0,,1.0,,,,,,,,,,001,A,True,False,True
420881,422556,1675,gesture,gesture,,,001.eaf,,,,,,,,7,,1_13,,,Ehm omdat hij dus op de helft van de dingen zit een zit een soort van plank.,,1.0,Ehm because he's so on half of the things a sits kind of plank.,,,1.0,,1.0,,A,1.0,07B,,,,07B,,7.0,,1.0,,,,,,,,,,001,A,True,False,True
426761,427641,880,gesture,gesture,,,001.eaf,,,,,,,,7,,1_13,,,Em en aan de onderkant steken er twee rechthoekige balken uit die een beetje schuin gaat.,,1.0,Em and at the bottom there are two rectangular beams sticking out that goes at a slight angle.,,,,,1.0,,A,,07C,,,,07C,,7.0,,1.0,,,,,,,,,,001,A,True,False,True
437443,438051,608,,,,gesture,001.eaf,,,,,,Yes and in front another kind (m) tray.,,7,,1_13,,,,,,,,,,,,,A,,,,Ja en voorop nog een soort (m) bakje.,1.0,,,7.0,,1.0,,,07A,,,,,,,001,B,False,True,True
449178,449578,400,,,,gesture,001.eaf,,,,,,"This one has an um yes ice cream cone on the head, on the top.",,J,,1_14,,,,,,,,,,,,,B,,,,"Deze heeft een eh ja ijshoorntje op de kop, op de bovenkant.",1.0,,,2.0,,1.0,,,02A,,,,,,,001,B,False,True,True
460729,461689,960,,,,gesture,001.eaf,,,,,,And then you have another kind of protrusion on the right side that seems to have a pin in it.,,J,,1_14,,,,,,,,,,,,,B,,,,En je hebt dan nog aan de rechterkant een soort uitsteeksel die met een pinnetje erin lijkt te zitten.,1.0,,,2.0,,1.0,,,02D,,,,,,,001,B,False,True,True
